Member,Electorate,Party,Period of office (dd/mm/yyyy - dd/mm/yyyy)
"Barr, Andrew",Kurrajong,Australian Labor Party,
"Berry, Wayne",Ginninderra; ACT,Australian Labor Party,08/05/1989 - 18/10/2008
"Berry, Yvette",Ginninderra,Australian Labor Party,
"Bourke, Chris",Ginninderra,Australian Labor Party,01/06/2011 - 14/10/2016
"Bresnan, Amanda",Brindabella,ACT Greens,29/10/2008 - 20/10/2012
"Burch, Candice",Kurrajong,Canberra Liberals,
"Burch, Joy",Brindabella,Australian Labor Party,
"Burke, Jacqui",Molonglo,Liberal Party,18/01/2001 - 20/10/2001; 20/10/2003 - 18/10/2008
"Carnell, Kate",Molonglo; ACT,Liberal Party,20/03/1992 - 13/12/2000
"Cheyne, Tara",Ginninderra,Australian Labor Party,
"Cody, Bec",Murrumbidgee,Australian Labor Party,
"Coe, Alistair",Yerrabi,Canberra Liberals,
"Collaery, Bernard",ACT,Residents Rally,08/05/1989 - 15/02/1992
"Connolly, Terry",Molonglo; ACT,Australian Labor Party,01/05/1990 - 19/02/1996
"Corbell, Simon",Molonglo,Australian Labor Party,09/01/1997 - 14/10/2016
"Cornwell, Greg",Molonglo; ACT,Liberal Party,20/03/1992 - 16/10/2004
"Cross, Helen",Molonglo,Liberal Party,05/11/2001 - 16/10/2004
"De Domenico, Tony",Brindabella; ACT,Liberal Party,20/03/1992 - 30/01/1997
"Doszpot, Steve",Brindabella; Molonglo; Kurrajong,Canberra Liberals,29/10/2008 - 25/11/2017
"Duby, Craig",ACT,No Self-Government Party,08/05/1989 - 15/02/1992
"Dundas, Roslyn",Ginninderra,Australian Democrats,05/11/2001 - 16/10/2004
"Dunne, Vicki",Ginninderra,Canberra Liberals,
"Ellis, Annette",ACT,Australian Labor Party,20/03/1992 - 18/02/1995
"Fitzharris, Meegan",Molonglo; Yerrabi,Australian Labor Party,06/01/2015 - 08/07/2019
"Follett, Rosemary",Molonglo; ACT,Australian Labor Party,08/05/1989 - 12/12/1996
"Foskey, Deb",Molonglo,ACT Greens,29/10/2004 - 18/10/2008
"Gallagher, Katy",Molonglo,Australian Labor Party,05/11/2001 - 10/12/2014
"Gentleman, Mick",Brindabella,Australian Labor Party,
"Grassby, Ellnor",ACT,Australian Labor Party,08/05/1989 - 18/02/1995
"Gupta, Deepak-Raj",Yerrabi,Australian Labor Party,
"Hanson CSC, Jeremy",Murrumbidgee,Canberra Liberals,
"Hargreaves, John",Brindabella,Australian Labor Party,17/03/1998 - 20/10/2012
"Hinder, Jayson",Ginninderra,Australian Labor Party,07/03/2016 - 14/10/2016
"Hird, Harold",Ginninderra,Liberal Party,02/03/1995 - 20/10/2001
"Horodny, Lucy",Ginninderra,ACT Greens,02/03/1995 - 21/02/1998
"Humphries, Gary",Molonglo; ACT,Liberal Party,08/05/1989 - 24/01/2003
"Hunter, Meredith",Ginninderra,ACT Greens,29/10/2008 - 20/10/2012
"Jeffrey, Val",Brindabella,Canberra Liberals,29/07/2016 - 14/10/2016
"Jensen, Norm",ACT,Residents Rally,08/05/1989 - 15/02/1992
"Jones, Giulia",Murrumbidgee,Canberra Liberals,
"Kaine, Trevor",Brindabella; ACT,Liberal Party,08/05/1989 - 21/10/2001
"Kikkert, Elizabeth",Ginninderra,Canberra Liberals,
"Kinloch, Hector",ACT,Residents Rally,08/05/1989 - 15/02/1992
"Lamont, David",ACT,Australian Labor Party,20/03/1992 - 18/02/1995
"Lawder, Nicole",Brindabella,Canberra Liberals,
"Le Couteur, Caroline",Murrumbidgee,ACT Greens,
"Lee, Elizabeth",Kurrajong,Canberra Liberals,
"Littlewood, Louise",Brindabella,Liberal Party,13/02/1997 - 21/02/1998
"MacDonald, Karin",Brindabella,Australian Labor Party,05/11/2001 - 18/10/2008
"Maher, Carmel",ACT,No Self-Government Party,08/05/1989 - 15/02/1992
"McRae, Roberta",Ginninderra; ACT,Australian Labor Party,20/03/1992 - 21/02/1998
"Milligan, James",Yerrabi,Canberra Liberals,
"Moore, Michael",Molonglo; ACT,Residents Rally; Independent; Moore Independents,08/05/1989 - 21/10/2001
"Mulcahy, Richard",Molonglo,Liberal Party; Independent,29/10/2004 - 18/10/2008
"Nolan, Robyn",ACT,Liberal Party,08/05/1989 - 15/2/1992
"Orr, Suzanne",Yerrabi,Australian Labor Party,
"Osbourne, Paul",Brindabella,Osborne Independents; Independent,02/03/1995 - 20/10/2001
"Parton, Mark",Brindabella,Canberra Liberals,
"Pettersson, Michael",Yerrabi,Australian Labor Party,
"Porter, Mary",Ginninderra,Australian Labor Party,29/10/2004 - 19/02/2016
"Pratt, Steve",Brindabella,Canberra Liberals,05/11/2001 - 18/10/2008
"Prowse, David",ACT,No Self-Government Party,08/05/1989 - 15/02/1992
"Quinlan, Ted",Molonglo,Australian Labor Party,17/03/1998 - 21/03/2006
"Ramsay, Gordon",Ginninderra,Australian Labor Party,
"Rattenbury, Shane",Kurrajong,ACT Greens,
"Reilly, Marion",Molonglo,Australian Labor Party,21/03/1996 - 21/02/1998
"Rugendyke, Dave",Ginninderra,Osborne Independents,17/03/1998 - 20/10/2001
"Seselja, Zed",Brindabella; Molonglo,Canberra Liberals; Liberal Party,29/10/2004 - 11/06/2013
"Smyth, Brendan",Brindabella,Canberra Liberals; Liberal Party,17/03/1998 - 15/07/2016
"Stanhope, Jon",Ginninderra,Australian Labor Party,17/03/1998 - 16/05/2011
"Steel, Chris",Murrumbidgee,Australian Labor Party,
"Stefaniak, Bill",Ginninderra; ACT,Liberal Party,08/05/1989 - 15/02/1992; 23/08/1994 - 18/10/2008
"Stephen-Smith, Rachel",Kurrajong,Australian Labor Party,
"Stevenson, Dennis",ACT,Abolish Self-Government Party,08/05/1989 - 18/02/1995
"Szuty, Helen",ACT,Moore Independents,20/03/1992 - 18?02/1995
"Tucker, Kerrie",Molonglo,ACT Greens,02/03/1995 - 14/9/2004
"Wall, Andrew",Brindabella,Canberra Liberals,
"Westende, Lou",ACT,Liberal Party,20/03/1992 - 25/07/1994
"Whalan, Paul",ACT,Australian Labor Party,08/05/1989 - 30/04/1990
"Whitecross, Andrew",Brindabella,Australian Labor Party,02/03/1995 - 21/02/1998
"Wood, Bill",Brindabella; ACT,Australian Labor Party,08/05/1989 - 16/10/2004
