politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q5498050,+1850-05-12T00:00:00Z,Q5653118,+1909-07-23T00:00:00Z,Q18912794,+1901-03-30T00:00:00Z,+1903-12-16T00:00:00Z,Q5284566,NA,NA,NA,0
Q5498050,+1850-05-12T00:00:00Z,Q5653118,+1909-07-23T00:00:00Z,Q27230596,+1892-06-21T00:00:00Z,+1892-10-15T00:00:00Z,NA,Q6230006,Q7793194,19,0
Q5498050,+1850-05-12T00:00:00Z,Q5653118,+1909-07-23T00:00:00Z,Q7836759,+1889-06-27T00:00:00Z,+1890-08-19T00:00:00Z,NA,NA,NA,NA,0
Q5498050,+1850-05-12T00:00:00Z,Q5653118,+1909-07-23T00:00:00Z,Q7574256,+1901-05-09T00:00:00Z,+1909-07-23T00:00:00Z,NA,Q5047470,NA,1,0
Q5498050,+1850-05-12T00:00:00Z,Q5653118,+1909-07-23T00:00:00Z,Q27230596,+1899-12-08T00:00:00Z,+1901-05-15T00:00:00Z,NA,Q6241775,Q7908685,NA,0
Q5498050,+1850-05-12T00:00:00Z,Q5653118,+1909-07-23T00:00:00Z,Q18912794,+1903-12-16T00:00:00Z,+1909-07-23T00:00:00Z,Q1073964,Q7325742,NA,NA,0
Q5498050,+1850-05-12T00:00:00Z,Q5653118,+1909-07-23T00:00:00Z,Q18220900,+1887-03-22T00:00:00Z,+1901-05-09T00:00:00Z,Q16255895,NA,NA,NA,0
Q5498050,+1850-05-12T00:00:00Z,Q5653118,+1909-07-23T00:00:00Z,Q7836759,+1892-06-21T00:00:00Z,+1892-10-15T00:00:00Z,NA,NA,NA,NA,0
Q5498050,+1850-05-12T00:00:00Z,Q5653118,+1909-07-23T00:00:00Z,Q23073852,+1893-06-16T00:00:00Z,+1894-04-17T00:00:00Z,NA,NA,NA,NA,0
Q5498050,+1850-05-12T00:00:00Z,Q5653118,+1909-07-23T00:00:00Z,Q7836759,+1894-04-17T00:00:00Z,+1899-12-01T00:00:00Z,NA,NA,NA,NA,0
Q5498050,+1850-05-12T00:00:00Z,Q5653118,+1909-07-23T00:00:00Z,Q7836759,+1899-12-08T00:00:00Z,+1901-05-15T00:00:00Z,NA,NA,NA,NA,0
