politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q7605795,+1928-11-30T00:00:00Z,Q2086426,"NA",Q18220900,+1959-03-07T00:00:00Z,+1973-03-09T00:00:00Z,Q17005635,Q16866525,Q20983317,NA,0
Q7605795,+1928-11-30T00:00:00Z,Q2086426,"NA",Q6814428,+1974-05-18T00:00:00Z,+1977-11-16T00:00:00Z,Q56649110,Q6154549,Q6962576,NA,0
Q7605795,+1928-11-30T00:00:00Z,Q2086426,"NA",Q27230596,+1968-04-17T00:00:00Z,+1970-06-02T00:00:00Z,NA,Q515924,Q515924,36,0
Q7605795,+1928-11-30T00:00:00Z,Q2086426,"NA",Q18220900,+1973-03-10T00:00:00Z,+1974-04-11T00:00:00Z,Q5355467,Q16864845,Q16866462,NA,0
Q7605795,+1928-11-30T00:00:00Z,Q2086426,"NA",Q18912794,+1981-02-21T00:00:00Z,+1996-01-29T00:00:00Z,Q2973469,Q4758616,Q16014930,NA,0
Q7605795,+1928-11-30T00:00:00Z,Q2086426,"NA",Q7836759,+1970-03-02T00:00:00Z,+1970-06-02T00:00:00Z,NA,Q515924,Q16866322,NA,0
Q7605795,+1928-11-30T00:00:00Z,Q2086426,"NA",Q6508561,+1966-07-13T00:00:00Z,+1968-04-16T00:00:00Z,NA,Q515924,Q528382,NA,0
Q7605795,+1928-11-30T00:00:00Z,Q2086426,"NA",Q6508561,+1970-06-02T00:00:00Z,+1972-03-15T00:00:00Z,NA,Q16090285,Q515924,NA,0
Q7605795,+1928-11-30T00:00:00Z,Q2086426,"NA",Q50389337,+1968-04-24T00:00:00Z,+1970-06-02T00:00:00Z,NA,NA,NA,NA,0
Q7605795,+1928-11-30T00:00:00Z,Q2086426,"NA",Q56173294,+1966-00-00T00:00:00Z,+1972-00-00T00:00:00Z,NA,Q16090285,Q528382,NA,0
Q7605795,+1928-11-30T00:00:00Z,Q2086426,"NA",Q56812961,NA,NA,NA,NA,NA,NA,0
