position_ID,electorate_name
Q1026265,Calare
Q1073683,Farrer
Q1073690,Chifley
Q1073695,Eden-Monaro
Q1073721,Lalor
Q1073946,McMahon
Q1073964,Wakefield
Q1073994,Richmond
Q1074005,Macquarie
Q1074025,Warringah
Q1074030,McPherson
Q1074059,Deakin
Q1074066,Lindsay
Q1074082,McMillan
Q1074088,Mayo
Q1074102,Aston
Q1074115,Berowra
Q1074124,Hunter
Q1074129,Griffith
Q1074143,Blaxland
Q1074151,Barton
Q1074167,McEwen
Q1074189,Bradfield
Q1074192,Charlton
Q1074235,Cowper
Q1074900,Oxley
Q1075639,Sydney
Q1079471,Dawson
Q1079489,Grayndler
Q1079523,Dunkley
Q14935098,Dalhousie
Q14935099,Dundas
Q14935100,East Bourke
Q14935106,Gippsland North
Q14935119,North Melbourne
Q14935136,West Bourke
Q15730216,Martin
Q16255895,Burra
Q16255900,Burra Burra
Q16255902,Burrum
Q16256549,Carlton South
Q1635847,Melbourne
Q16834245,East Bourke Boroughs
Q16840222,Grenville
Q16890274,Chillagoe
Q16890821,East Adelaide
Q16891062,Encounter Bay
Q16891837,Grant
Q16891933,Gumeracha
Q16894550,Mandurang
Q16895950,North Adelaide
Q16899429,Rockhampton South
Q16899455,Rosewood
Q16902719,Villiers and Heytesbury
Q16902872,Wallaroo
Q16903098,West Adelaide
Q16904151,Yorke Peninsula
Q16962291,Barossa
Q16962338,Niddrie
Q16962351,Pingelly
Q16962369,South Fremantle
Q17001314,Bendigo West
Q17003489,East Torrens
Q17005316,Gladstone
Q17005358,Glendalough
Q17005635,Gouger
Q17017752,North Central Metropolitan Province
Q17021056,Pembroke
Q17022450,Port Pirie
Q17028193,Semaphore
Q17028238,Sturt
Q17028318,West Hobart
Q17028350,Wooroora
Q17053403,Newcastle
Q178752,Menzies
Q182615,Cunningham
Q1878928,Lyons
Q23019675,Burt
Q23055249,Whitlam
Q23646678,Fenner
Q2411395,Throsby
Q24189113,Victoria
Q24189119,Victoria and Albert
Q2423795,Port Adelaide
Q2425863,Banks
Q25184582,South Province
Q25184587,East Province
Q25184606,North-East Province
Q28163858,Wilmot
Q28224195,Central Province
Q2887271,Bass
Q29079928,Ryde
Q2973361,Adelaide
Q2973414,Hindmarsh
Q2973417,Indi
Q2973418,Isaacs
Q2973434,Ballarat
Q2973436,Barker
Q2973440,Batman
Q2973455,Bendigo
Q2973464,Blair
Q2973466,Bonner
Q2973469,Boothby
Q2973470,Brindabella
Q2973472,Bowman
Q2973477,Bruce
Q2973482,Canberra
Q2973484,Calwell
Q2973485,Canning
Q2973486,Capricornia
Q2973490,Casey
Q2973504,Corio
Q2973505,Corangamite
Q2973507,Cowan
Q2973513,Curtin
Q2973551,Dickson
Q2973561,Durack
Q2973562,Fadden
Q2973565,Fairfax
Q2973569,Fisher
Q2973570,Flinders
Q2973571,Flynn
Q2973572,Forde
Q2973574,Forrest
Q2973575,Fowler
Q2973578,Franklin
Q2973584,Fraser
Q2973587,Fremantle
Q2973604,Gellibrand
Q2973616,Gilmore
Q2973620,Gippsland
Q2973625,Goldstein
Q2973629,Gorton
Q2973632,Greenway
Q2973634,Grey
Q2973635,Groom
Q2973646,Hasluck
Q2973647,Herbert
Q2973648,Higgins
Q2973649,Hinkler
Q2973650,Holt
Q2973653,Hotham
Q2973656,Hughes
Q2973659,Hume
Q2973662,Jagajaga
Q2973687,Kennedy
Q2973695,Kingsford Smith
Q2973706,Kooyong
Q2973715,La Trobe
Q2973718,Lilley
