Name,UniqueID
"Abbott, CLA (CP)",Abbott1886
"Abbott, JP (CP)",Abbott1891
"Abbott, AJ",Abbott1957
"Abbott, the Hon. Anthony John",Abbott1957
"Abetz, Senator",Abetz1958
"Abetz, Senator E",Abetz1958
"Abetz, Senator the Hon. Eric",Abetz1958
"Adermann, CF (CP)",Adermann1896
"Adermann, the Hon. Charles Frederick",Adermann1896
"Adermann, the Rt Hon. Charles Frederick",Adermann1896
"Adermann, AE (NCP)",Adermann1927
"Albanese, AN",Albanese1963
"Albanese, the Hon. Anthony Norman",Albanese1963
"Alston, Senator RKR",Alston1941
"Alston, Senator the Hon. Richard Kenneth Robert",Alston1941
"Anderson, Senator KMcC",Anderson1909
"Anderson, Senator McC",Anderson1909
"Anderson, Senator the Hon. Kenneth McColl",Anderson1909
"Anderson, Senator the Hon. Sir Kenneth McColl, KBE",Anderson1909
"Anderson, the Hon. Kenneth McColl",Anderson1909
"Anderson, JD (NP)",Anderson1956
"Anderson, JD (NPA)",Anderson1956
"Anderson, the Hon. John Duncan",Anderson1956
"Andrews, the Hon. Kevin James",Andrews1955
"Andrews, KJ",Andrews1955
"Andrews, KL",Andrews1960
"Anstey, F",Anstey1865
"Anthony, HL (CP)",Anthony1897
"Anthony, JD",Anthony1929
"Anthony, JD (CP)",Anthony1929
"Anthony, JD (NCP)",Anthony1929
"Anthony, the Hon. John Douglas",Anthony1929
"Anthony, the Rt Hon. John Douglas",Anthony1929
"Anthony, the Rt Hon. John Douglas, CH",Anthony1929
"Anthony, LJ (NPA)",Anthony1961
"Arbib, Senator MJ",Arbib1971
"Arbib, Senator MV",Arbib1971
"Archibald, WO",Archibald1852
"Armstrong, Senator JI",Armstrong1908
"Arthur, JA",Arthur1875
"Ashley, Senator WP",Ashley1881
"Atkinson, L",Atkinson1867
"Bailey, FE",Bailey1946
"Baldwin, the Hon. Peter Jeremy",Baldwin1951
"Baldwin, PJ",Baldwin1951
"Baldwin, BC",Baldwin1955
"Baldwin, RC",Baldwin1955
"Bamford, FW",Bamford1849
"Barnard, HC",Barnard1890
"Barnard, LH",Barnard1919
"Barnes, Senator J",Barnes1868
"Barnes, CE (CP)",Barnes1901
"Barnes, the Hon. Charles Edward",Barnes1901
"Barton, E",Barton1849
"Barwick, GEJ",Barwick1903
"Barwick, the Hon. Sir Garfield Edward John, GCMG, QC",Barwick1903
"Barwick, the Hon. Sir Garfield Edward John, QC",Barwick1903
"Batchelor, EL",Batchelor1865
"Baume, the Hon. Peter Erne",Baume1935
"Baume, Senator PE",Baume1935
"Beale, OH",Beale1898
"Beale, the Hon. Howard, QC",Beale1934
"Beasley, JA",Beasley1895
"Beazley, KE",Beazley1917
"Beazley, KC",Beazley1948
"Beazley, the Hon. Kim Christian",Beazley1948
"Beddall, DP",Beddall1948
"Berinson, JM",Berinson1932
"Best, Senator RW",Best1856
"Best, Senator RW (PROT)",Best1856
"Billson, BF",Billson1966
"Billson, the Hon. Bruce Fredrick",Billson1966
"Bilney, GN",Bilney1939
"Bird, SL",Bird1962
"Birmingham, Senator SJ",Birmingham1974
"Birmingham, Senator the Hon. Simon John",Birmingham1974
"Bishop, BK",Bishop1942
"Bishop, JI",Bishop1956
"Bishop, Senator R",Bishop1913
"Bishop, the Hon. Julie Isabel",Bishop1956
"Blakeley, A",Blakeley1886
"Blewett, N",Blewett1933
"Blewett, the Hon. Dr Neal",Blewett1933
"Bolkus, Senator N",Bolkus1950
"Bolkus, Senator the Hon. Nick",Bolkus1950
"Boswell, Senator RLD (NPA)",Boswell1940
"Bowden, EK",Bowden1871
"Bowen, CE",Bowen1973
"Bowen, LF",Bowen1922
"Bowen, NH",Bowen1911
"Bowen, the Hon. Christopher Eyles",Bowen1973
"Bowen, the Hon. Lionel Frost",Bowen1922
"Bowen, the Hon. Nigel Hubert, QC",Bowen1911
"Bradbury, DJ",Bradbury1976
"Brandis, Senator GH",Brandis1957
"Brandis, Senator the Hon. George Henry, QC",Brandis1957
"Brennan, F",Brennan1873
"Brennan, Senator TC",Brennan1866
"Brereton, LJ",Brereton1946
"Brereton, the Hon. Laurence John",Brereton1946
"Briggs, JE",Briggs1977
"Brough, MT",Brough1961
"Brough, the Hon. Malcolm Thomas",Brough1961
"Brown, JJ",Brown1931
"Brown, NA",Brown1940
"Brown, RJ",Brown1933
"Brown, the Hon. John Joseph",Brown1931
"Brownhill, Senator DGC (NPA)",Brownhill1935
"Bruce, SM",Bruce1883
"Bryant, GM",Bryant1914
"Burke, AS",Burke1969
"Burke, the Hon. Anthony Stephen",Burke1969
"Bury, LH",Bury1913
"Bury, LHE",Bury1913
"Bury, the Hon. Leslie Harry Ernest",Bury1913
"Butler, MC",Butler1970
"Butler, the Hon. Mark Christopher",Butler1970
"Button, Senator JN",Button1932
"Button, Senator the Hon. John Norman",Button1932
"Byrne, AM",Byrne1962
"Cadman, AG",Cadman1937
"Cairns, JF",Cairns1914
"Cairns, KMK",Cairns1929
"Calwell, AA",Calwell1896
"Cameron, AG (CP)",Cameron1895
"Cameron, CR",Cameron1913
"Cameron, DA",Cameron1900
"Cameron, RA",Cameron1965
"Cameron, Senator D",Cameron1878
"Cameron, Senator DN",Cameron1851
"Campbell, Senator IG",Campbell1959
"Campbell, Senator the Hon. Ian Gordon",Campbell1959
"Canavan, Senator MJ",Canavan1980
"Canavan, Senator MJ (NP)",Canavan1980
"Carlton, JJ",Carlton1935
"Carr, Senator KJ",Carr1955
"Carr, Senator RJ",Carr1947
"Carr, Senator the Hon. Kim John",Carr1955
"Carr, Senator the Hon. Robert John",Carr1947
"Carrick, Senator JL",Carrick1918
"Carrick, Senator the Hon. John Leslie",Carrick1918
"Carrick, Senator the Hon. John Leslie (later Sir John, KCMG)",Carrick1918
"Casey, RG",Casey1890
"Casey, the Rt Hon. Richard Gardiner, CH, DSO, MC",Casey1890
"Cash, Senator MC",Cash1970
"Cash, Senator the Hon. Michaelia Clare",Cash1970
"Cass, MH",Cass1927
"Cavanagh, JL",Cavanagh1913
"Cavanagh, Senator JL",Cavanagh1913
