politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q1070523,+1948-12-05T00:00:00Z,Q606900,NA,Q6814428,+1990-07-01T00:00:00Z,+1997-10-15T00:00:00Z,Q56649111,Q16152123,Q6832422,NA,0
Q1070523,+1948-12-05T00:00:00Z,Q606900,NA,Q18912794,+1998-10-03T00:00:00Z,+2001-11-10T00:00:00Z,Q2973551,Q7173778,Q7823441,NA,0
Q1077015,+1973-01-17T00:00:00Z,Q3130,NA,Q2390270,+2013-06-27T00:00:00Z,+2013-09-18T00:00:00Z,NA,Q6210353,Q1236571,NA,0
Q1077015,+1973-01-17T00:00:00Z,Q3130,NA,Q18912794,+2004-10-09T00:00:00Z,+2010-08-21T00:00:00Z,Q5284560,NA,Q6154225,NA,0
Q1077015,+1973-01-17T00:00:00Z,Q3130,NA,Q18912794,+2010-08-21T00:00:00Z,NA,Q1073946,NA,NA,NA,0
Q1077015,+1973-01-17T00:00:00Z,Q3130,NA,Q11796950,+2010-09-14T00:00:00Z,+2013-02-04T00:00:00Z,NA,Q4961047,Q466583,NA,0
Q1103607,+1913-02-11T00:00:00Z,Q1641083,+2008-03-14T00:00:00Z,Q18912794,+1949-12-10T00:00:00Z,+1980-09-19T00:00:00Z,Q2973414,Q15485996,Q4711324,NA,0
Q1158950,+1844-04-06T00:00:00Z,Q986654,+1913-08-03T00:00:00Z,Q13527950,+1899-09-14T00:00:00Z,+1901-03-27T00:00:00Z,NA,Q2401446,Q23352,13,0
Q1158950,+1844-04-06T00:00:00Z,Q986654,+1913-08-03T00:00:00Z,Q18912794,+1901-03-29T00:00:00Z,+1913-05-31T00:00:00Z,Q2973659,Q7348772,NA,NA,0
Q1158950,+1844-04-06T00:00:00Z,Q986654,+1913-08-03T00:00:00Z,Q19202748,NA,NA,NA,NA,NA,NA,0
Q11701393,+1958-04-28T00:00:00Z,Q3130,NA,Q11796924,+2010-09-15T00:00:00Z,+2013-07-01T00:00:00Z,NA,Q6766947,Q456759,NA,0
Q11701393,+1958-04-28T00:00:00Z,Q3130,NA,Q6865883,+2011-12-14T00:00:00Z,+2013-06-26T00:00:00Z,NA,Q1639334,Q1639334,NA,0
Q11701393,+1958-04-28T00:00:00Z,Q3130,NA,Q18912794,+2007-11-24T00:00:00Z,+2013-08-05T00:00:00Z,Q1074192,Q16218414,Q16195116,NA,0
Q11701393,+1958-04-28T00:00:00Z,Q3130,NA,Q6865784,+2009-06-09T00:00:00Z,+2010-09-14T00:00:00Z,NA,NA,NA,NA,0
Q11727915,+1872-06-28T00:00:00Z,Q40191,+1940-10-31T00:00:00Z,Q6814428,+1901-03-29T00:00:00Z,+1923-06-30T00:00:00Z,Q56649108,NA,NA,NA,0
Q118051,+1863-07-16T00:00:00Z,Q606162,+1910-07-20T00:00:00Z,Q13526082,+1899-12-01T00:00:00Z,+1899-12-07T00:00:00Z,NA,Q3436073,Q3161028,14,0
Q118051,+1863-07-16T00:00:00Z,Q606162,+1910-07-20T00:00:00Z,Q18526194,+1893-05-13T00:00:00Z,+1901-06-11T00:00:00Z,Q5355232,Q23583265,Q7349596,NA,0
Q118051,+1863-07-16T00:00:00Z,Q606162,+1910-07-20T00:00:00Z,Q6814428,+1901-03-30T00:00:00Z,+1906-12-31T00:00:00Z,Q56649111,NA,NA,NA,0
Q118051,+1863-07-16T00:00:00Z,Q606162,+1910-07-20T00:00:00Z,Q6508557,NA,NA,NA,NA,NA,NA,0
Q118588,+1895-11-09T00:00:00Z,Q2563357,+1949-09-02T00:00:00Z,Q18912794,+1928-11-17T00:00:00Z,+1946-08-14T00:00:00Z,Q5284575,Q8016233,Q8014265,NA,0
Q118588,+1895-11-09T00:00:00Z,Q2563357,+1949-09-02T00:00:00Z,Q121998,NA,NA,NA,NA,NA,NA,0
Q12063768,+1973-12-24T00:00:00Z,Q3130,NA,Q6814428,+2002-07-01T00:00:00Z,+2008-06-30T00:00:00Z,Q56649105,NA,NA,NA,0
Q1236571,+1954-06-30T00:00:00Z,Q1343166,NA,Q5261065,+2010-06-24T00:00:00Z,+2013-06-27T00:00:00Z,NA,Q335697,Q41563,NA,0
Q1236571,+1954-06-30T00:00:00Z,Q1343166,NA,Q2390270,+2007-12-03T00:00:00Z,+2013-06-27T00:00:00Z,NA,Q1077015,Q2546246,NA,0
Q1236571,+1954-06-30T00:00:00Z,Q1343166,NA,Q6865833,+2010-09-03T00:00:00Z,+2010-09-14T00:00:00Z,NA,Q456759,Q1826293,NA,0
Q1236571,+1954-06-30T00:00:00Z,Q1343166,NA,Q6746719,+2001-11-25T00:00:00Z,+2003-06-16T00:00:00Z,NA,Q982227,Q4933373,NA,0
Q1236571,+1954-06-30T00:00:00Z,Q1343166,NA,Q18912794,+1993-03-13T00:00:00Z,+1996-03-02T00:00:00Z,Q2973718,Q5362859,Q5353191,NA,0
Q1236571,+1954-06-30T00:00:00Z,Q1343166,NA,Q18912794,+1998-10-03T00:00:00Z,+2019-04-11T00:00:00Z,Q2973718,NA,Q5362859,NA,0
Q1239052,+1925-08-21T00:00:00Z,Q3141,+2006-08-28T00:00:00Z,Q6814428,+1978-07-01T00:00:00Z,+1986-08-18T00:00:00Z,Q56649112,Q6153558,NA,NA,0
Q1239052,+1925-08-21T00:00:00Z,Q3141,+2006-08-28T00:00:00Z,Q18912794,+1960-12-10T00:00:00Z,+1969-10-25T00:00:00Z,Q5284532,NA,Q15972597,NA,0
