uniqueID,wikidata_place_of_birth
Abbott1859,Bendigo
Abbott1869,Hobart
Abbott1877,Murrurundi
Abbott1886,St Leonards
Abbott1891,North Sydney
Abbott1957,General Lying-In Hospital
Abel1939,Sydney
Abetz1958,Stuttgart
Adams1943,Picton
Adams1951,Launceston
Adamson1857,Tudhoe
Adermann1896,Lowood
Adermann1927,Kingaroy
Ahern1871,Victoria
Albanese1963,Sydney
Aldred1945,East Melbourne
Alexander1951,Sydney
Allan1916,Newcastle
Allen1966,Albury
Allison1946,Melbourne
Alston1941,Perth
Aly1967,Alexandria
Amour1900,Hamilton
Anderson1909,NA
Anderson1956,Sydney
AndersonCharles1897,Cape Town
AndersonGordon1897,Barkly
Andren1946,Gulargambone
Andrew1866,Castlemaine
Andrew1944,Waikerie
Andrews1900,NA
Andrews1955,Sale
Andrews1960,Brisbane
Anning1949,Brisbane
Anstey1865,London
Anthony1897,Warren
Anthony1929,Murwillumbah
Anthony1961,Sydney
Antic1974,Adelaide
Arbib1971,Chippendale
Archer1871,Croydon
Archer1929,NA
Archer1975,NA
Archibald1852,St Pancras
Arkins1888,Millthorpe
Armitage1920,Sydney
Armstrong1908,Ultimo
Armstrong1909,Deniliquin
Arnold1902,Wallaroo
Arthur1875,Castlemaine
Arthur1883,Forbes
Arthur1918,Sydney
Ashley1881,Hay
AshleyBrown1915,Sydney
Askew1963,Launceston
Aston1916,Sydney
Atkinson1867,Launceston
Atkinson1948,Adelaide
Aulich1945,Bathurst
Aylett1900,Wynyard
Ayres,NA
Back1950,Perth
Badman1885,Yacka
Bailey1946,Brisbane
Baillieu1937,Melbourne
Baird1942,Sydney
Baker1841,North Adelaide
Baker1873,Leyburn
Baker1903,Bundaberg
Baker1958,Latrobe
Bakhap1866,Ballarat
Baldwin1951,Aldershot
Baldwin1955,Gloucester
Bamford1849,Dubbo
Bandidt1906,NA
Bandt1972,Adelaide
Banks1962,Melbourne
Barker1846,Sussex
Barnard1890,Mole Creek
Barnard1919,Launceston
Barnes1868,Hamilton
Barnes1901,Einasleigh
Barnett1962,Launceston
Barresi1955,Patti
Barrett1858,Carlton
Bartlett1949,Sydney
Bartlett1964,Brisbane
Barton1849,Glebe
Barwell1877,Adelaide
Barwick1903,Sydney
Batchelor1865,Adelaide
Bate1906,Tilba
Baume1930,Sydney
Baume1935,Sydney
Bayley1882,Franklin
Beahan1937,London
Beale1898,Tamworth
Beale1934,Sydney
Beard1866,NA
Beasley1895,Werribee
Beaton1925,Mooroopna
Beazley1917,Northam
Beazley1948,Perth
Beck1882,Launceston
Beddall1948,Manchester
Beerworth1886,Quorn
Bell1968,Adelaide
Bell1872,Sale
Bell1950,Hobart
Benn1897,Branxholme
Bennett1872,Young
Bennett1874,NA
Bennett1933,Perth
Benny1869,Aldinga
Benson1909,Cheltenham
Berinson1932,Highgate
Bernardi1969,Adelaide
Berry1907,Esk
Bessell1923,Launceston
Best1856,Collingwood
Bevis1955,Brisbane
Bidgood1959,London
Billson1966,Albury
Bilney1939,Renmark
Bilyk1959,Hobart
Bird1906,Launceston
Bird1962,Wollongong
Birmingham1974,Adelaide
Birney1928,Sydney
Birrell1913,Adelaide
Bishop1913,Adelaide
Bishop1942,Sydney
Bishop1954,Adelaide
Bishop1956,Lobethal
BjelkePetersen1920,Brisbane
Black1952,Sydney
Blackburn1880,Inglewood
Blackburn1889,Melbourne
Blacklow1879,Bagdad
Blackwood1861,Crowlands
Blain1894,Inverell
Blakeley1886,Gilberton
Blakey1879,Balmoral
Blanchard1929,London
Bland1882,Macdonaldtown
Blewett1933,Launceston
Blundell1871,Norwood
Blunt1951,Sydney
Bolkus1950,Adelaide
Bolton1860,Lostock Gralam
Bonner1922,Ukerebagh Island
Bonnett1916,Brisbane
Bonython1848,London
Bosman1924,Sydney
Bostock1892,Surry Hills
Boswell1940,Perth
Bourchier1929,Ballarat
Bourke1913,Carlton North
Bourne1954,Sydney
Bowden1871,Parramatta
Bowden1888,Moyhu
Bowen1911,Summerland
Bowen1922,Ultimo
Bowen1973,Sydney
Boyce1951,Brisbane
Boyd1867,Ayrshire
Bradbury1976,Sydney
Braddon1829,St Kew
Bradfield1933,Sydney
Bradford1946,Sydney
Bragg1984,Carlton
Braithwaite1933,Finch Hatton
Brand1873,Ipswich
Brand1888,Childers
Brandis1957,Sydney
Branson1918,Perth
Breen1898,Kalgoorlie
Breen1902,St Kilda
Brennan1866,Bendigo
Brennan1873,Bendigo
Brereton1946,Kensington
BridgesMaxwell1929,Hobart
Briggs1977,Kyneton
Brimblecombe1898,Laidley
Broad1975,Carnarvon
Broadbent1950,Koo Wee Rup
Brockman1970,Manjimup
Brodtmann1963,Melbourne
Brough1961,Brisbane
Brown1843,"St John's, Woking"
Brown1861,Forbes
Brown1885,Chesterfield
Brown1894,Colac
Brown1920,Melbourne
Brown1931,Sydney
Brown1933,Pelaw Main
Brown1940,Melbourne
Brown1944,Oberon
Brown1963,Hobart
Brownbill1914,Adelaide
Browne1924,Sydney
Brownhill1935,Mudgee
Bruce1883,Melbourne
Bruce1884,Wandiligong
Brumby1953,Melbourne
Bryant1914,Lismore
Bryson1898,Maldon
Buchanan1905,Melbourne
Buchholz1968,Rockhampton
Buckland1947,Sydney
Bull1905,Wagga Wagga
Bullock1955,Sydney
Bungey1934,Gnowangerup
Bunton1902,Albury
Burchell1883,Port Pirie
Burke1910,Moora
Burke1966,Melbourne
Burke1969,Sydney
Burney1957,Whitton
Burns1869,Mogo
Burns1929,Rockhampton
Burns1933,Northern Ireland
Burns1987,Caulfield
Burr1939,Launceston
Burston1948,Cessnock
Bury1913,London
Bushby1965,Launceston
Butler1970,Canberra
Butler1977,Cairns
Buttfield1912,Adelaide
Button1932,Ballarat
Buzacott1867,Clare
Byrne1910,Yea
Byrne1962,Adelaide
Cadman1937,Sydney
Cairns1914,Carlton
Cairns1929,Five Dock
Calder1916,Melbourne
Calvert1940,Hobart
Calwell1896,Melbourne
Cameron1851,Launceston
Cameron1857,Nile
Cameron1873,German Creek
Cameron1878,North Melbourne
Cameron1879,Brisbane
Cameron1895,Happy Valley
Cameron1900,Ipswich
Cameron1913,Murray Bridge
Cameron1914,Murray Bridge
Cameron1917,Cloncurry
Cameron1930,Melbourne
Cameron1935,Millicent
Cameron1938,Melbourne
Cameron1940,Brisbane
Cameron1965,Sydney
CameronDouglas1951,Bellshill
CameronEoin1951,Mount Gambier
Campbell1939,Abingdon-on-Thames
Campbell1943,Belfast
Campbell1959,Perth
Campbell1972,Queenstown
Canavan1980,Southport
Cann1871,Cramlington
Cant1907,Mount Magnet
Carige1938,Mount Morgan
Carlton1935,Sydney
Carpenter1863,Stratton St Margaret
Carr1875,Dubbo
Carr1947,Matraville
Carr1955,Tumut
Carrick1918,Sydney
Carroll1872,Garvoc
Casey1890,Brisbane
Cash1919,Gladstone
Cash1970,Subiaco
Cass1927,Narrogin
Catley1942,Wales
Catts1877,Wagga Wagga
Causley1940,Maclean
Cavanagh1913,Rosewater
Chalmers1978,Brisbane
Chamarette1948,Hyderabad
Chamberlain1884,Manchester
Chambers1897,Thebarton
Champion1972,Elizabeth
Chandler1990,Hobart
Chaney1914,Fremantle
Chaney1941,Perth
Chanter1845,Adelaide
Chapman1864,Bowral
Chapman1879,Jamestown
Chapman1949,Adelaide
Charles1936,Covington
Charles1948,Melbourne
Charleston1848,St Erth
Charlesworth1952,Subiaco
Charlton1866,Linton
Chataway1864,Wartling
Cheeseman1976,Christchurch
Cherry1965,Kilcoy
Chester1967,Sale
Chesters1980,Wentworthville
Chifley1885,Bathurst
Child1921,Yackandandah
Childs1934,Sydney
Chipp1925,Melbourne
Chisholm1978,Brisbane
Chresby1908,Wickham
Christensen1978,Mackay
Chynoweth1941,Richmond
Ciccone1983,East Melbourne
Ciobo1974,Mareeba
Clare1972,Sydney
Clarey1890,Bairnsdale
Clark1897,Coonamble
Clarke1857,Stroud
Clasby1891,Warragul
Clay1900,Chillagoe
Claydon1964,Camperdown
Clayton1942,Hampshire
Cleary1952,Melbourne
Cleaver1917,Perth
Cleeland1938,Preston
Clemons1862,Launceston
Clothier1877,Bulimba
Coates1944,Melbourne
Cobb1945,Blayney
Cobb1950,Bathurst
Cockle1908,Harrington
Cohen1918,Bankstown
Cohen1935,Griffith
Coker,NA
Colbeck1958,Myrtleford
Cole1908,Don
Colebatch1872,Wolferlow
Coleman1892,Surry Hills
Coleman1928,Caulfield
Coleman1931,Collie
Coleman1974,Camden
Coles1892,Geelong
Collard1912,Beverley
Collard1936,Maleny
Collett1877,Saint Peter Port
Collings1865,Brighton
Collins1878,Mount Bryan
Collins1886,Yass
Collins1946,Newcastle
Collins1962,Melbourne
Collins1971,Hobart
Colston1938,Brisbane
Comber1919,Broken Hill
Combet1958,Sydney
Conaghan1971,Kempsey
Conelan1895,NA
Connelly,NA
Connolly1939,Sydney
Connor1907,Wollongong
Conquest1930,Quilpie
Conroy1864,Winchelsea
Conroy1963,Ely
Conroy1979,Sydney
Considine1885,County Mayo
Cook1860,Silverdale
HumeCook1866,Kihikihi
Cook1868,Chiltern
Cook1943,Melbourne
Cooke1847,Harrow
Cooke1904,Perth
Cooke1938,Brisbane
Coon1869,Maldon
Coonan1947,Mangoplah
Cooney1934,Currie
Cooper1888,Cheetham Hill
Cope1907,Sydney
Corbett1906,Temora
Corboy1896,Melbourne
Corcoran1951,Melbourne
Cormack1906,Caithness
Cormann1970,Eupen
Corser1852,Birmingham
Corser1882,Maryborough
Costa1900,Warialda
Costello1957,Melbourne
Cotter1935,Yarram
Cotton1915,Broken Hill
Coulter1930,Perth
Coulton1958,Sydney
Courtenay1879,Balmain
Courtice1885,Bundaberg
Courtice1950,Bundaberg
Courtnay1903,Melbourne
Coutts1908,Marburg
Cowan1926,Taree
Cox1863,Pennant Hills
Cox1954,Dunedin
Cramer1897,Quirindi
Crane1941,Perth
Crawford1865,Collingwood
Crawford1947,Toowoomba
Crean1916,Hamilton
Crean1949,Melbourne
Cremean1907,Melbourne
Crewther1983,Mitcham
CrichtonBrowne1944,Wiluna
Critchley1892,Callington
Croft1871,Newcastle
Crook1959,Merredin
Crosio1939,Granville
Cross1929,Brisbane
Crossin1956,Melbourne
Crouch1868,Ballarat East
Crowley1938,Melbourne
Cruickshank1853,Dubbo
Culleton1964,Narrogin
Culley1877,Broadmarsh
Culpin1846,Hertfordshire
Cunningham1879,Wirrabara
Cunningham1889,Inverell
Cunningham1939,Pakenham
Curtin1885,Creswick
Curtin1898,Sydney
Cusack1868,Yass
Daly1891,Thebarton
Daly1912,Currabubula
Danby1955,Melbourne
Dankel1864,Brunswick
Darcey1870,Launceston
Dargavel1966,Traralgon
Darling1936,Brisbane
Dastyari1983,Sāri
DAth1970,Penrith
Davey1972,Sydney
Davidson1897,Toowong
Davidson1915,Unley
Davies1884,Abertillery
Davies1919,NA
Davis1900,Melbourne
Dawkins1947,Perth
Dawson1863,Rockhampton
Day1952,Manchester
Deahm1938,Hurstville
Deakin1856,Melbourne
Dean1913,Sydney
Dean1942,Mackay
Debus1943,Ryde
Dedman1896,Wigtownshire
Dein1889,Orange
deLargie1859,Airdrie
Denman1937,Latrobe
Dennis1870,Melbourne
Devereux1946,Queenstown
Devine1923,NA
Devitt1921,Launceston
Devlin1898,Violet Town
Devlin1926,Burnie
Dick1972,Brisbane
DiNatale1970,Melbourne
Dittmer1904,Dugandan
Dobie1927,Glasgow
Dobson1841,Hobart
Dodd1953,Sydney
Dodson1948,Broome
Dondas1939,Perth
Dooley1884,Tumbarumba
Downer1843,Adelaide
Downer1910,North Adelaide
Downer1951,Adelaide
Doyle1922,Oakey
Drake1850,London
DrakeBrockman1884,Busselton
DrakeBrockman1919,Toodyay
Drakeford1878,Fitzroy
Draper1959,Woodville
Dreyfus1956,Perth
Drum1960,Shepparton
Drummond1890,Lewisham
Drummond1931,Wagga Wagga
Drury1911,Clifton
Drury1912,Adelaide
Dubois1940,Vanuatu
Duffy1938,Mildura
Duncan1883,Armidale
Duncan1945,Melbourne
DuncanHughes1882,Watervale
Duniam1982,Launceston
Dunn1887,Liverpool
Dunn1948,Shanghai
Durack1926,Perth
Duthie1912,Nhill
Dutton1970,Brisbane
Earle1865,Bridgewater
Easson1955,Melbourne
Edmonds1903,Charters Towers
Edwards1842,Montgomeryshire
Edwards1855,Hobart
Edwards1927,Drummoyne
Edwards1945,Perth
Edwards1946,Kalgoorlie
Edwards1962,Clare
