name,page,dob,status,gender
"A'Beckett, Dr Arthur Martin",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=381,01 Jan 1812,Deceased,Male
"A'Beckett, Mr William Channing",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=867,01 Jan 1846,Deceased,Male
"Abbott, Mr Joseph",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=815,01 Aug 1843,Deceased,Male
"Abbott, Mr Macartney",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1311,03 Jul 1877,Deceased,Male
"Abbott, Mr Robert Palmer",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=609,01 Jan 1830,Deceased,Male
"Abbott, Mr William Edward",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=832,01 Apr 1844,Deceased,Male
"Abbott, Sir Joseph Palmer",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=797,29 Sep 1842,Deceased,Male
"Abigail, Mr Francis",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=757,16 Jan 1840,Deceased,Male
"Adamson, Mr John Clark",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1709,12 May 1910,Deceased,Male
"Affleck, Mr William",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=702,05 Mar 1836,Deceased,Male
"Ahern, The Hon. Harold Daniel",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1649,14 Sep 1903,Deceased,Male
"Ainsworth, Mr William",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1284,16 Jun 1875,Deceased,Male
"Airey, Mr John Moore Cole",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=136,,,Male
"Akhurst, Mr Carl Adrian",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1437,14 Jun 1886,Deceased,Male
"Akister, The Hon. John Edward",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1948,06 Nov 1937,,Male
