name,page,electorate,from_to,died
"ADAIR, Herbert Arthur",https://www.parliament.qld.gov.au/members/former/bio?id=2719334794,Cook,7 Mar 1953 - 17 May 1969,21 October 1994
"ADAMS, Walter",https://www.parliament.qld.gov.au/members/former/bio?id=1078276772,"Bundaberg, Mulgrave",10 Jul 1886 - 15 May 1892,15 May 1892
"ADAMSON, CBE, John",https://www.parliament.qld.gov.au/members/former/bio?id=879694129,"Maryborough, Rockhampton",18 May 1907 - 21 Mar 1917,2 May 1922
"AGNEW, George",https://www.parliament.qld.gov.au/members/former/bio?id=1654273678,Nundah,10 May 1888 - 21 Mar 1896,19 December 1934
"AHEARN, Thomas Gipps",https://www.parliament.qld.gov.au/members/former/bio?id=2134186175,Sandgate,3 Aug 1957 - 28 May 1960,
"AHERN, Hon Michael John, AO",https://www.parliament.qld.gov.au/members/former/bio?id=3306165204,Landsborough,16 Mar 1968 - 16 May 1990,
"AIKEN, John Albert",https://www.parliament.qld.gov.au/members/former/bio?id=2229486080,Warrego,17 May 1969 - 7 Dec 1974,3 September 2016
"AIKENS, Thomas",https://www.parliament.qld.gov.au/members/former/bio?id=145416584,"Mundingburra, Townsville South",15 Apr 1944 - 12 Nov 1977,30 November 1985
"AIREY, Peter",https://www.parliament.qld.gov.au/members/former/bio?id=3004713277,"Flinders, Legislative Council, South Brisbane",13 Jul 1901 - 2 Oct 1909,10 August 1950
"AKERS, Robert George",https://www.parliament.qld.gov.au/members/former/bio?id=2527834843,Pine Rivers,7 Dec 1974 - 22 Oct 1983,28 October 2006
"ALAND, Robert",https://www.parliament.qld.gov.au/members/former/bio?id=1927833603,Drayton & Toowoomba,14 Jan 1881 - 6 May 1893,19 March 1904
"ALISON, Gilbert",https://www.parliament.qld.gov.au/members/former/bio?id=2293751583,Maryborough,24 Jul 1971 - 2 Dec 1989,
"ALLAN, James",https://www.parliament.qld.gov.au/members/former/bio?id=797560524,"Kurilpa, South Brisbane",2 Oct 1909 - 22 May 1915,26 January 1938
"ALLAN, William",https://www.parliament.qld.gov.au/members/former/bio?id=1449947909,"Cunningham, Darling Downs, Legislative Council",29 Nov 1881 - 19 Oct 1901,19 October 1901
"ALLEN, Barnett Francis Samuel",https://www.parliament.qld.gov.au/members/former/bio?id=3239746739,Bulloo,27 Mar 1909 - 27 Apr 1912,18 October 1948
"ALLPASS, Frederic James",https://www.parliament.qld.gov.au/members/former/bio?id=3321491703,Condamine,29 Apr 1950 - 7 Mar 1953,5 April 1977
"AMHURST, Francis Tyssen",https://www.parliament.qld.gov.au/members/former/bio?id=801712743,"Bowen, Mackay",14 May 1875 - 3 Jan 1881,3 January 1881
"ANDERSON, Mervyn John Reginald, OBE",https://www.parliament.qld.gov.au/members/former/bio?id=3924111429,"Toowoomba East, Toowoomba",3 Aug 1957 - 28 May 1966,14 November 1971
"ANNAND, James Douglas",https://www.parliament.qld.gov.au/members/former/bio?id=3747753596,"East Toowoomba, Toowoomba",11 May 1929 - 11 May 1935,7 August 1952
"ANNEAR, John Thomas",https://www.parliament.qld.gov.au/members/former/bio?id=1818683865,"Legislative Council, Maryborough",25 Jul 1884 - 28 May 1910,28 May 1910
"APLIN, William",https://www.parliament.qld.gov.au/members/former/bio?id=2164289564,Legislative Council,19 Oct 1880 - 18 Feb 1901,18 February 1901
"APPEL, Hon John George",https://www.parliament.qld.gov.au/members/former/bio?id=1466031233,Albert,5 Feb 1908 - 19 Mar 1929,19 March 1929
"ARCHER, Archibald",https://www.parliament.qld.gov.au/members/former/bio?id=3782716198,"Blackall, Rockhampton",27 Jul 1867 - 4 Apr 1896,10 February 1902
"ARCHER, Edward Walker",https://www.parliament.qld.gov.au/members/former/bio?id=172101444,Normanby,5 Mar 1914 - 22 May 1915,1 July 1940
"ARCHIBALD, John",https://www.parliament.qld.gov.au/members/former/bio?id=2614379702,Legislative Council,11 Mar 1897 - 20 May 1907,20 May 1907
"ARDILL, Leonard Arthur",https://www.parliament.qld.gov.au/members/former/bio?id=4095778969,"Archerfield, Salisbury",1 Nov 1986 - 13 Jun 1998,4 April 2014
"ARMFIELD, Thomas Gummersal",https://www.parliament.qld.gov.au/members/former/bio?id=2434917489,Musgrave,22 May 1915 - 9 Oct 1920,21 April 1931
"ARMSTRONG, Roy Alexander",https://www.parliament.qld.gov.au/members/former/bio?id=2588887680,Mulgrave,23 Jul 1960 - 29 Nov 1980,26 April 1991
"ARMSTRONG, Hon William Drayton",https://www.parliament.qld.gov.au/members/former/bio?id=1737859111,Lockyer,13 May 1893 - 16 Mar 1918,2 June 1936
"ATHERTON, Ernest Arthur",https://www.parliament.qld.gov.au/members/former/bio?id=2521361482,Chillagoe,11 May 1929 - 10 Jun 1932,29 June 1954
"ATKIN, Robert Travers",https://www.parliament.qld.gov.au/members/former/bio?id=431885529,"Clermont, East Moreton",1 Oct 1868 - 7 Mar 1872,25 May 1872
"ATTWOOD, Julie Maree",https://www.parliament.qld.gov.au/members/former/bio?id=981810569,Mount Ommaney,13 Jun 1998 - 23 Mar 2012,
