name,number,bio
Mrs Simone Wilson,812306558,"
    
        
    
        
            Electorate
            Pumicestone -  View Map (.pdf)
        
        
            Party
            Liberal National Party (LNP)
        
            Date of Election
            25 November 2017
        
            SpeechesInaugural |  All Speeches
        

        
    
    
    
    
        Contact details
    

        
        


Electorate Office Address1/43 Benabrow AvenueBELLARA QLD 4507

Phone: (07) 3474 2100Fax: n/aEmail: [email protected]
    
    
        Parliamentary Service
    
        Current: 
Member, Education, Employment and Small Business Committee: 15 Feb 2018
Shadow Assistant Minister for Education: 15 Dec 2017

		
        Career
    
	

        Teacher Aide; employment consultant; mortgage broker client manager.

    
   
        
            Community Activity:  Bribie Island Chamber of Commerce; Commerce Caboolture; Sandstone Point Lions. 
        
    

    Personal
     
            
               Birth Date: 
            
                20 February 1976 (Melbourne)
            
        
            
               Education: 
            
                Certificate IV in Finance and Mortgage Broking
            
        



    
    


"
Mr Christopher (Chris) Whiting,2917049458,"
    
        
    
        
            Electorate
            Bancroft -  View Map (.pdf)
        
        
            Party
            Australian Labor Party (ALP)
        
            Date of Election
            31 January 2015Previous RepresentationMurrumba - ALP (31 Jan 2015 - 24 Nov 2017)
        
            SpeechesInaugural |  All Speeches
        

        
    
    
    
    
        Contact details
    

        
        

Electorate Office Postal AddressPO Box 21DECEPTION BAY QLD 4508

Electorate Office AddressShop T1.18, The Zone Shopping Centre743 Deception Bay RoadROTHWELL QLD 4508

Phone: (07) 3448 2100Fax: n/aEmail: [email protected]
    
    
        Parliamentary Service
    
        Current: 
Chair, Natural Resources, Agricultural Industry Development and Environment Committee: 21 May 2020
Member, Ethics Committee: 19 May 2020
Temporary Speaker: 15 Feb 2018

		
    
        Past:
Chair, State Development, Natural Resources and Agricultural Industry Development Committee: 15 Feb 2018 - 20 May 2020
Chief Government Whip: 16 Feb 2016 - 2017
Member, Public Works and Utilities Committee: 14 Feb 2017 - 24 Nov 2017
Member, Transportation and Utilities Committee: 15 Mar 2016 - 14 Feb 2017
Member, Utilities, Science and Innovation Committee: 27 Mar 2015 - 16 Feb 2016



    
		
        Career
    
	

        Real estate agent (2012-2015); Councillor (2000-2012); media and communications officer (1995-2000); student employment officer, Griffith University (1993-1995)
Education Program Assistant (1990-1992)

    
   
        
            Local Government Service:  Councillor, Caboolture Shire Council 2000-2008; Councillor, Moreton Bay Regional Council 2008-2012 
        
    

    Personal
     
            
               Birth Date: 
            
                13 July 1966 (Mackay, Queensland, Australia)
            
        
            
               Education: 
            
                Bachelor of Arts (Honours); Master of Journalism
            
        
            
               Religion: 
            
                Anglican
            
        



    Additional Information
    
            Notes:  Personal interests: surfing; Australian wines; hockey; furniture restoration. 
        


"
Mr Patrick (Pat) Weir,4154112788,"
    
        
    
        
            Electorate
            Condamine -  View Map (.pdf)
        
        
            Party
            Liberal National Party (LNP)
        
            Date of Election
            31 January 2015
        
            SpeechesInaugural |  All Speeches
        

        
    
    
    
    
        Contact details
    

        
        

Electorate Office Postal AddressPO Box 65OAKEY QLD 4401

Electorate Office Address101 Campbell StreetOAKEY QLD 4401

Phone: (07) 4570 4100Fax: n/aEmail: [email protected]
    
    
        Parliamentary Service
    
        Current: 
Member, Natural Resources, Agricultural Industry Development and Environment Committee: 21 May 2020
Member [Leader of the Opposition's nominee], Committee of the Legislative Assembly: 15 Feb 2018
Temporary Speaker: 15 Feb 2018

		
    
        Past:
Member, State Development, Natural Resources and Agricultural Industry Development Committee: 15 Feb 2018 - 20 May 2020
Member, Agriculture and Environment Committee: 14 Feb 2017 - 24 Nov 2017
Member, Finance and Administration Committee: 27 Mar 2015 - 14 Feb 2017



    
		
        Career
    
	

        Farmer - grain, cotton and cattle

    
   
        
            Community Activity:  Cecil Plains Cricket Club, Cecil Plains Golf Club, Cecil Plains  Recreation Committee, Cecil Plains Rodeo Committee 
        
    

    Personal
     
            
               Birth Date: 
            
                25 February 1960 (Toowoomba, Queensland)
            
        
            
               Education: 
            
                Cecil Plains State Primary School, Cecil Plains State High School  
            
        
            
               Religion: 
            
                Catholic
            
        



    
    


"
Mr Trevor Watts,1634313414,"
    
        
    
        
            Electorate
            Toowoomba North -  View Map (.pdf)
        
        
            Party
            Liberal National Party (LNP)
        
            Date of Election
            24 March 2012
        
            SpeechesInaugural |  All Speeches
        

        Websitehttp://www.trevorwattsmp.com/ 
    
    
    
    
        Contact details
    

        
        

Electorate Office Postal AddressPO Box 285HARLAXTON QLD 4350

Electorate Office AddressSuite 2, ABC Building297 Margaret StreetTOOWOOMBA QLD 4350

Phone: (07) 4602 2100Fax: n/aEmail: [email protected]
    
    
        Parliamentary Service
    
        Current: 
Member, Economics and Governance Committee: 19 May 2020
		
    
        Past:
Shadow Minister for Police and Counter Terrorism: 15 Dec 2017 - 27 Apr 2020
Shadow Minister for Corrective Services: 15 Dec 2017 - 27 Apr 2020
Member, Ethics Committee: 10 May 2016 - 14 Dec 2017
Chief Opposition Whip: 9 May 2016 - 14 Dec 2017
Chair, Parliamentary Crime and Corruption Committee: 18 Feb 2016 - 10 May 2016
Member, Parliamentary Crime and Corruption Committee: 27 Mar 2015 - 18 Feb 2016
Member, Legal Affairs and Community Safety Committee: 18 May 2012 - 6 Jan 2015
Temporary Chairmen of Committees: 17 May 2012 - 6 Jan 2015



    
		
        Career
    
	

        Prior to election Publican, Executive Officer Queensland Wine, Deputy General Manager Commercial Operations USQ. Interests include Toowoomba Basketball Association, Football Toowoomba and Garden City Rotary Club. 

    
   
        
            Community Activity:  Liquor Industry Action Group, Community Safety Committee/Community ACCESS Committee, City Safe Committee.  
        
    

    Personal
     
            
               Birth Date: 
            
                30 January 1968 (UK)
            
        
            
               Family: 
            
                Married (4 children)
            
        
            
               Education: 
            
                Bachelor of Business, Diploma of Export Management; Graduate Public Venue Management School (PVMS). Member Chartered Institute of Marketing; Member Australian Institute of Management. 
            
        



    
    


"
Ms Jacklyn (Jackie) Trad,2909040466,"
    
        
    
        
            Electorate
            South Brisbane -  View Map (.pdf)
        
        
            Party
            Australian Labor Party (ALP)
        
            Date of Election
            28 April 2012
        
            SpeechesInaugural |  All Speeches
        

        
    
    
    
    
        Contact details
    

        
        

Electorate Office Postal AddressPO Box 5326WEST END QLD 4101

Electorate Office AddressSuite1/90 Vulture StreetWEST END QLD 4101

Phone: (07) 3724 9100Fax: n/aEmail: [email protected]
    
    
        Parliamentary Service
    
        Current: No current Parliamentary Service
    
    
		
    
        Past:
Deputy Premier, Treasurer and Minister for Aboriginal and Torres Strait Islander Partnerships: 12 Dec 2017 - 10 May 2020
Deputy Premier, Minister for Transport and Minister for Infrastructure and Planning: 10 Feb 2017 - 11 Dec 2017
Deputy Premier, Minister for Infrastructure, Local Government and Planning and Minister for Trade and Investment: 8 Dec 2015 - 10 Feb 2017
Deputy Premier, Minister for Transport, Minister for Infrastructure, Local Government and Planning and Minister for Trade: 16 Feb 2015 - 8 Dec 2015
Member, Parliamentary Crime and Corruption Committee: 1 Jul 2014 - 26 Mar 2015
Shadow Minister for Transport and Main Roads; Environment and Heritage Protection; Small Business and Consumer Affairs; The Arts: 5 Aug 2014 - 30 Jan 2015
Member, Agriculture, Resources and Environment Committee: 18 May 2012 - 6 Jan 2015
Member, Ethics Committee: 18 May 2012 - 6 Jan 2015
Shadow Minister for Transport and Main Roads: 4 Mar 2014 - 5 Aug 2014
Shadow Minister for Environment and Heritage Protection; Small Business and Consumer Affairs; The Arts: 10 May 2012 - 5 Aug 2014
Member, Parliamentary Crime and Misconduct Committee: 28 Nov 2013 - 30 Jun 2014
Shadow Minister for Transport: 10 May 2012 - 4 Mar 2014
Member, Parliamentary Crime and Misconduct Committee: 18 May 2012 - 21 Nov 2013



    
		
        Career
    
	

        Public Servant, Government Advisor, Industrial Organiser. 

    
   
        
            Community Activity:  Scott Street C&K Kindergarten, West End; Amnesty International.  
        
    

    Personal
     
            
               Birth Date: 
            
                25 April 1972 (Brisbane)
            
        
            
               Family: 
            
                Married (2 children)
            
        
            
               Education: 
            
                Masters in Public Policy (University of Sydney), Bachelor of Arts (Griffith University). 
            
        



    
    


"
Mr Scott Stewart,1560887617,"
    
        
    
        
            Electorate
            Townsville -  View Map (.pdf)
        
        
            Party
            Australian Labor Party (ALP)
        
            Date of Election
            31 January 2015
        
            SpeechesInaugural |  All Speeches
        

        
    
    
    
    
        Contact details
    

        
        

Electorate Office Postal AddressPO Box 1081TOWNSVILLE QLD 4810

Electorate Office AddressGround Floor, 445 Flinders StreetTOWNSVILLE QLD 4810

Phone: (07) 4766 4100Fax: n/aEmail: [email protected]
    
    
        Parliamentary Service
    
        Current: 
Deputy Speaker: 15 Feb 2018
		
    
        Past:
Temporary Deputy Speaker: 14 Feb 2017 - 14 Feb 2018
Chair, Education, Tourism, Innovation and Small Business Committee: 18 Feb 2016 - 24 Nov 2017
Chair, Education, Tourism and Small Business Committee: 27 Mar 2015 - 18 Feb 2016



    

        

    
   
        
    

    
     



    
    


"
Mr Raymond (Ray) Stevens,38139274,"
    
        
    
        
            Electorate
            Mermaid Beach -  View Map (.pdf)
        
        
            Party
            Liberal National Party (LNP)
        
            Date of Election
            9 September 2006Previous RepresentationRobina - LNP (9 Sep 2008 - 20 Mar 2009) Robina - LIB (9 Sep 2006 - 8 Sep 2008)
        
            SpeechesInaugural |  All Speeches
        

        Websitehttp://mermaidray.com.au/ 
    
    
    
    
        Contact details
    

        
        

Electorate Office Postal AddressPO Box 435MERMAID BEACH QLD 4218

Electorate Office Address2434 Gold Coast HighwayMERMAID BEACH QLD 4218

Phone: (07) 5600 0100Fax: n/aEmail: [email protected]
    
    
        Parliamentary Service
    
        Current: 
Deputy Chair, Economics and Governance Committee: 15 Feb 2018
Member, Ethics Committee: 15 Feb 2018
Temporary Speaker: 15 Feb 2018

		
    
        Past:
Member, Finance and Administration Committee: 10 May 2016 - 24 Nov 2017
Member, Committee of the Legislative Assembly: 27 Mar 2015 - 10 May 2016
Leader of Opposition Business in the House: 31 Jan 2015 - 9 May 2016
Assistant Minister to the Premier on e-government: 11 Oct 2012 - 2015
Leader of the House: 17 May 2012 - 31 Jan 2015
Member, Finance and Administration Committee: 16 Jun 2011 - 19 Feb 2012
Shadow Parliamentary Secretary for Racing: 11 Apr 2011 - 19 Feb 2012
Member, Law, Justice and Safety Committee: 9 Feb 2010 - 16 Jun 2011
Shadow Minister for Tourism and Racing: 29 Nov 2010 - 11 Apr 2011
Shadow Minister for Tourism and Fair Trading: 6 Apr 2009 - 29 Nov 2010
Shadow Minister for Housing Accessibility and Shadow Minister for Public Works: 12 Aug 2008 - 5 Apr 2009
Member, Scrutiny of Legislation Committee: 11 Oct 2006 - 20 Mar 2009
Member, Estimates Committee A: 2008 - 2008
Shadow Minister for Information and Communication Technology: 17 Sep 2007 - 12 Aug 2008
Shadow Minister for Housing Affordability and Public Works: 16 Apr 2007 - 12 Aug 2008
Member, Estimates Committee A: 2007 - 2007
Shadow Minister for Public Works and Housing: 21 Sep 2006 - 17 Sep 2007



    
		
        Career
    
	

        Prior to election – Employed by Price Waterhouse (Sydney). Returned to family cattle and sheep station, “Doncaster”, Richmond, North Queensland. Moved to Gold Coast (1979). Established local businesses around Pacific Fair, Surfers Paradise and Nerang.

    
   
        
            Local Government Service:  Councillor, Albert Shire Council (1988 – 1994); Chairman, Works Committee, Albert Shire Council. Mayor; Albert Shire Council (1994); Amalgamation of Albert and Gold Coast Shire Councils (1994); Mayor, Gold Coast City Council (1995 – 1997).  
        
    

    Personal
     
            
               Birth Date: 
            
                1 February 1953 (Townsville)
            
        
            
               Family: 
            
                Married (2 children)
            
        
            
               Education: 
            
                Bachelor of Arts in Finance and Economics (JCU) and (Macquarie). Admitted to Australian Association of Accountants (1974). 
            
        



    
    


"
Mr Edward (Ted) Sorensen,1339591927,"
    
        
    
        
            Electorate
            Hervey Bay -  View Map (.pdf)
        
        
            Party
            Liberal National Party (LNP)
        
            Date of Election
            21 March 2009
        
            SpeechesInaugural |  All Speeches
        

        
    
    
    
    
        Contact details
    

        
        

Electorate Office Postal AddressPO Box 5049TORQUAY QLD 4655

Electorate Office AddressShop 3, ""Baiavista"" 357 EsplanadeSCARNESS QLD 4655

Phone: (07) 4183 8100Fax: n/aEmail: [email protected]
    
    
        Parliamentary Service
    
        Current: 
Member, Transport and Public Works Committee: 15 Feb 2018
		
    
        Past:
Member, Education, Tourism, Innovation and Small Business Committee: 14 Feb 2017 - 24 Nov 2017
Member, Agriculture and Environment Committee: 27 Mar 2015 - 14 Feb 2017
Deputy Government Whip: 17 May 2012 - 31 Jan 2015
Member, Finance and Administration Committee: 18 May 2012 - 12 Feb 2013
Deputy Opposition Whip: 9 Feb 2010 - 19 Feb 2012
Member, Members' Ethics and Parliamentary Privileges Committee: 23 Apr 2009 - 9 Feb 2010



    
		
        Career
    
	

        Prior to election – Mayor, Councillor, Grazier. 

    
   
        
            Community Activity:  Member, Hervey Bay Chamber of Commerce; Vice-patron, Kirami Nursing Home; Patron, Hervey bay High School; Committee Member, Meals on Wheels; Member, Sunrise Rotary Club.  
        
            Local Government Service:  Mayor, Hervey Bay City (2000 – 2008); Councillor, Hervey Bay City (1994 – 2000).  
        
    

    Personal
     
            
               Birth Date: 
            
                20 January 1953
            
        
            
               Family: 
            
                Married (5 children)
            
        
            
               Education: 
            
                Bingham Road School; Torquay School, Hervey Bay; Hervey Bay High School.
            
        



    
    


"
Ms Fiona Simpson,270271732,"
    
        
    
        
            Electorate
            Maroochydore -  View Map (.pdf)
        
        
            Party
            Liberal National Party (LNP)
        
            Date of Election
            19 September 1992Previous RepresentationMaroochydore - NAT (19 Sep 1992 - 8 Sep 2008)
        
            SpeechesInaugural |  All Speeches
        

        Websitehttp://www.fionasimpson.com.au/ 
    
    
    
    
        Contact details
    

        
        


Electorate Office AddressTenancy 1b, 148 Horton ParadeMAROOCHYDORE QLD 4558

Phone: (07) 5406 7100Fax: n/aEmail: [email protected]
    
    
        Parliamentary Service
    
        Current: 
Shadow Minister for Employment and Small Business: 15 Dec 2017
Shadow Minister for Training and Skills Development: 15 Dec 2017

		
    
        Past:
Member, Ethics Committee: 14 Feb 2017 - 24 Nov 2017
Shadow Minister for Aboriginal and Torres Strait Islander Partnerships and Multicultural Affairs: 10 May 2016 - 14 Feb 2017
Shadow Minister for Local Government and Main Roads, Community Recovery and Resilience: 23 Mar 2015 - 10 May 2016
Speaker of the Legislative Assembly: 15 May 2012 - 23 Mar 2015
Member, Community Affairs Committee: 16 Jun 2011 - 19 Feb 2012
Shadow Minister for Waste Watch, Shadow Minister for Community Services and Housing and Shadow Minister for Women: 11 Apr 2011 - 19 Feb 2012
Shadow Minister for Road Safety: 29 Nov 2010 - 11 Apr 2011
Shadow Minister for Transport and Main Roads: 6 Apr 2009 - 11 Apr 2011
Member, Economic Development Committee: 23 Apr 2009 - 9 Feb 2010
Shadow Minister for Infrastructure (including ICT) and Shadow Minister for Main Roads and Transport: 12 Aug 2008 - 5 Apr 2009
Member, Estimates Committee A: 2008 - 2008
Shadow Minister for Infrastructure and Planning: 17 Sep 2007 - 12 Aug 2008
Deputy Leader of the Opposition: 21 Sep 2006 - 28 Jul 2008
Deputy Leader of The Nationals: 18 Sep 2006 - 28 Jul 2008
Member, Standing Orders Committee: 11 Oct 2006 - 13 May 2008
Shadow Minister for Tourism: 17 Sep 2007 - 29 Jan 2008
Member, Estimates Committee C: 2007 - 2007
Shadow Minister for State Development, Employment, Industrial Relations and Shadow Minister for Small Business and Tourism: 16 Apr 2007 - 17 Sep 2007
Shadow Minister for Small Business and Employment: 30 Jan 2007 - 16 Apr 2007
Shadow Minister for Industrial Relations: 30 Jan 2007 - 16 Apr 2007
Shadow Minister for State Development: 21 Sep 2006 - 16 Apr 2007
Shadow Minister for Infrastructure: 21 Sep 2006 - 30 Jan 2007
Shadow Minister for Employment and Industrial Relations: 21 Sep 2006 - 30 Jan 2007
Member, Estimates Committee F: 2006 - 2006
Shadow Minister for Women's Policy: 28 Sep 2005 - 21 Sep 2006
Shadow Minister for Transport and Main Roads: 8 Aug 2006 - 21 Sep 2006
Deputy Chair, Legal, Constitutional and Administrative Review Committee: 8 Apr 2004 - 15 Aug 2006
Member, Legal, Constitutional and Administrative Review Committee: 3 May 2001 - 15 Aug 2006
Shadow Minister for State Development, Shadow Minister for Small Business, Information Technology and Innovation: 28 Sep 2005 - 8 Aug 2006
Shadow Minister for Industrial Relations: 1 Jul 2006 - 8 Aug 2006
Member, Estimates Committee F: 2005 - 2005
Shadow Minister for Transport and Main Roads and Shadow Minister for Urban Affairs: 8 Mar 2004 - 27 Sep 2005
Shadow Minister for Women's Policy: 2 Jul 1998 - 27 Sep 2005
Member, Estimates Committee D: 2004 - 2004
Shadow Minister for Health: 2 Jul 1998 - 8 Mar 2004
Member, Public Works Committee: 2 May 2001 - 13 Jan 2004
Member, Estimates Committee D: 2003 - 2003
Member, Estimates Committee A: 30 Apr 2003 - 18 Aug 2003
Shadow Minister for Tourism: 12 Mar 2001 - 22 Apr 2003
Member, Estimates Committee D: 2002 - 2002
Member, Estimates Committee F: 18 Apr 2002 - 30 Jul 2002
Member, Estimates Committee E: 1998 - 2001
Member, Estimates Committee C: 30 May 2001 - 30 Jul 2001
Member, Estimates Committee D: 2000 - 2000
Secretary to the Parliamentary National Party: 17 Feb 1998 - 27 Jul 1998
Member of Members' Ethics and Parliamentary Privileges Committee: 3 Mar 1998 - 19 May 1998
Temporary Chairman of Committees: 2 Apr 1996 - 19 May 1998
Member, Legal, Constitutional and Administrative Review Committee: 15 Sep 1995 - 19 May 1998
Member, Estimates Committee G: 1997 - 1997
Member, Estimates Committee G: 1996 - 1996
Member, Subordinate Legislation Committee: 10 Nov 1992 - 20 Jun 1995
Temporary Chairman of Committees: 5 Nov 1992 - 20 Jun 1995



    
		
        Career
    
	

        Prior to election - journalist. Exchange student to Japan 1983. State winner of Dalgety Excellence in Rural Journalism Award 1989. 

    
   
        
    

    Personal
     
            
               Birth Date: 
            
                18 April 1965 (Sea Lake, Victoria)
            
        
            
               Education: 
            
                Bachelor of Arts, majors in Japanese, journalism and government. Master of Arts, majoring in communications and organizational leadership. Graduate of the Australian Institute of Company Directors.
            
        



    
    


"
Ms Meaghan Scanlon,4264547649,"
    
        
    
        
            Electorate
            Gaven -  View Map (.pdf)
        
        
            Party
            Australian Labor Party (ALP)
        
            Date of Election
            25 November 2017
        
            SpeechesInaugural |  All Speeches
        

        
    
    
    
    
        Contact details
    

        
        

Electorate Office Postal AddressPO Box 512NERANG QLD 4211

Electorate Office AddressUnits 4 & 5, 12 Ferry StreetNERANG QLD 4211

Phone: (07) 5560 7100Fax: n/aEmail: [email protected]
    
    
        Parliamentary Service
    
        Current: 
Assistant Minister for Tourism Industry Development: 12 Dec 2017"
