name,number,personal,everything
"Santoro,  Santo  ",/1001345616,"
    
            Birth Date: 27 April 1956 (Sicily, Italy)
               
             
            
Family: 2 sons 
             
            
Education: Bachelor of Arts and Bachelor of Economics (Hons) 
             
            
     ","
     Personal
    
        
    
    
            Birth Date: 27 April 1956 (Sicily, Italy)
               
             
            
Family: 2 sons 
             
            
Education: Bachelor of Arts and Bachelor of Economics (Hons) 
             
            
     
    
    
    Career
        Private Secretary to Queensland Liberal Senator Warwick Parer; Purchasing Executive, St Andrews Hospital; Research Officer, Queensland Confederation of Industry; Zone Chairman, Salvation Army Red Shield Appeal, 1980 to 1991
        
        Party Positions:
 (LIB) Life Member, Queensland Young Liberals
 (LIB) Sir Robert Menzies Young Liberal of the Year, 1978
 (LIB) Senior Vice-Chairman, Brisbane area, 1982 - 1983
 (LIB) Chairman, Liberal Party Immmigration and Ethnic Affairs Policy Subcommittee, 1982 - 1985
 (LIB) Secretary, Liberal Party Industry and Commerce Policy Subcommittee, 1982 - 1985
 (LIB) Sir Robert Menzies Young Liberal of the Year, 1983
 (LIB) Federal Young Liberal Development Vice-President, 1983
 (LIB) Member, Liberal Party State Executive, 1984 - 1986
 (LIB) Young Liberal State President, 1985 - 1986
 (LIB) Delegate, Federal Council of Liberal Party, 1985 - 1986
 (LIB) Chairman, Northern Metropolitan Zone, 1988 - 1989
 (LIB) Member, Liberal Party State Executive, 1988 - 1989
 (LIB) Development Officer, Lilley FEC, 1995 - 1996
Parliamentary Representation:
            House
                      Party
                      Electorate
                      From
                    To
                    Elected/Departure Reason                      
                Assembly 
                LIB
                Merthyr
                13 May 1989
                19 Sep 1992
                
            Assembly 
                LIB
                Clayfield
                19 Sep 1992
                17 Feb 2001
                By-election
            
		
       Speeches:  All Speeches 
    
	
     
Other Seats:  Senator (Federal) for Qld, Liberal Party, 29 Oct 2002 to 11 Apr 2007

    
            Parliamentary Service
            Description
                      From
                      To                
                Member, Estimates Committee F 
                
27 Aug 1999
                
26 Oct 1999
            Member, Parliamentary Criminal Justice Committee 
                
3 Mar 1999
                
18 May 2000
            Shadow Minister for Multicultural Affairs 
                
1 Jan 1999
                
19 Jun 2000
            Member, Estimates Committee F 
                
15 Sep 1998
                
20 Oct 1998
            Shadow Minister for Employment, Training, Industrial Relations 
                
2 Jul 1998
                
19 Jun 2000
            Minister for Training and Industrial Relations 
                
26 Feb 1996
                
26 Jun 1998
            Shadow Minister Assisting the Leader in Ethnic Affairs 
                
2 Aug 1995
                
19 Feb 1996
            Member, Estimates Committee C 
                
31 Mar 1995
                
13 Jun 1995
            Member, Estimates Committee C 
                
28 Apr 1994
                
23 Jun 1994
            Coalition Shadow Minister for Industrial Relations, Employment and Training 
                
Nov 1992
                
19 Feb 1996
            Member, Public Accounts Committee 
                
10 Nov 1992
                
20 Jun 1995
            Deputy Leader of the Parliamentary Liberal Party 
                
24 Sep 1992
                
31 Jul 1995
            Member, Parliamentary Criminal Justice Committee 
                
Mar 1990
                
25 Aug 1992
            Liberal Party Whip 
                
Feb 1990
                
Sep 1990
            Liberal Party Spokesperson on Emergency Services; Employment, Training and Industrial Relations; Youth; and Ethnic Affairs 
                
Feb 1990
                
Sep 1992
            Spokesperson on Police 
                
Feb 1990
                
Aug 1990
            Additional Information
    Notes: Interests include reading, stamp and coin collecting, current affairs, walking, gardening, country driving and all codes of football. Member: State Executive, Australian National Flag Association, 1985-1991; Ministerial Advisory Committee for Youth Affairs, 1992-1988; Australasian Study of Parliament Group (Qld Chapter); Qld State Council - Australians for Constitutional Monarchy; and Citizens Against Road Slaughter (CARS). Member: Industrial Relations Society of Qld Inc. Society of St Andrew's of Scotland; Italo-Australian Centre; Qld Maritime Museum; Council for the National Interest; Australian Workers Heritage Centre; Royal Geographic Society of Qld; Qld Division, Italian Chamber of Commerce; and Australian-Chinese Chamber of Commerce. Member: Rotary Club of Hamilton; Brothers Rugby Union Club; Clayfield Bowling Club; Ascot-Hamilton Red Cross; Nundah and Districts Historical Society; Crosby Park Meals on Wheels; and English Speaking Union of Australia. Patron, Ascot Clayfield Brothers Junior Rugby Club Inc. Mr Santoro was the Senator for Queensland from 29 Oct 2002 to 11 Apr 2007
    
    Sources: Image courtesy of the Parliament of Australia website

    [Last Modified: Wednesday, 26 July 2017]


"
"Watson,  Robert Hodgson (Bob)",/1003651015,"
    
            Birth Date: 12 October 1896 (Durham, England, United Kingdom)
            
Death Date: 26 March 1959 (Coorparoo, Queensland, Australia)  
            
Parents: William Watson and Elizabeth Ann (nee Forster) 
            Family: Ethel Agnes Mutch on 8 December 1920, 2 daughters 
             
            
Education: Primary school 
            Religion: Presbyterian 
            
     ","
     Personal
    
        
    
    
            Birth Date: 12 October 1896 (Durham, England, United Kingdom)
            
Death Date: 26 March 1959 (Coorparoo, Queensland, Australia)  
            
Parents: William Watson and Elizabeth Ann (nee Forster) 
            Family: Ethel Agnes Mutch on 8 December 1920, 2 daughters 
             
            
Education: Primary school 
            Religion: Presbyterian 
            
     
    
    
    Career
        Family cane farm, Mourilyan, then to Mossman and Edmonton; Farmer, Palma (near Babinda), 1924; Inspector, Babinda Central Mill and Chairman of Directors; Cane farmer, Bartle Frere, 1953 to 1955
        
        
        
        
        Local Government Service: Chairman, Mulgrave Shire Council for 11 years
        
    Parliamentary Representation:
            House
                      Party
                      Electorate
                      From
                    To
                    Elected/Departure Reason                      
                Assembly 
                CP
                Mulgrave
                29 Apr 1950
                7 Mar 1953
                
            Assembly 
                CP
                Mulgrave
                3 Aug 1957
                26 Mar 1959
                Died in Office
            

    

      Additional Information
    Notes: Member and Executive Officer, Australian Sugar Producers' Association. Chairman, District Cane Growers Executive, Cairns. Freemason and Rotarian
    
    Sources: Waterson, DB and John Arnold, A Biographical Register of the Queensland Parliament: 1930-1980, (Canberra: ANU Press, 1982); Lack, Clem, Three Decades of Queensland Political History, 1929-1960 (Brisbane: Government Printer, 1962); The Courier-Mail, 'Great loss to north', 28 Mar 1959

    [Last Modified: Wednesday, 19 July 2017]


"
"Russell,  Charles Wilfred ",/1004917000,"
    
            Birth Date: 24 April 1907 (Tamworth, New South Wales, Australia)
            
Death Date: 21 October 1977 (Jimbour, Queensland, Australia)  
            
Parents: Wilfred Adams Russell and Millicent (nee Baldwin) 
            Family: Hilary Maude Newton on 27 July 1944, 4 sons, 1 daughter 
             
            
Education: Cranbrook School, Sydney 
            Religion: Church of England 
            Relationship to Politician: His father Wilfred Adams Russell was the Member for Dalby 1926-1932
     ","
     Personal
    
        
    
    
            Birth Date: 24 April 1907 (Tamworth, New South Wales, Australia)
            
Death Date: 21 October 1977 (Jimbour, Queensland, Australia)  
            
Parents: Wilfred Adams Russell and Millicent (nee Baldwin) 
            Family: Hilary Maude Newton on 27 July 1944, 4 sons, 1 daughter 
             
            
Education: Cranbrook School, Sydney 
            Religion: Church of England 
            Relationship to Politician: His father Wilfred Adams Russell was the Member for Dalby 1926-1932
     
    
    
    Career
        Director, Queensland National Pastoral Co. Ltd. Brisbane, 1946 to 1950; Director, Coca-Cola Export Corporation, 1946 to 1972; Director, Appleton Industries Ltd., Napier Bros Ltd, Primaries Mactaggarts Cooperative Association; Managing Partner, Russell Pastoral Co.; Chairman, Barnes Milling Ltd, 1951 to 1977; Chairman of Directors and General Manager, Logan Downs Pty Ltd.; Director, Buckingham Downs Ltd; Director, Queensland Primary Producers Cooperative Association; Jackeroo and manager, Nardoo, Western Australia
        
        
        
        
        Local Government Service: Councillor, Wambo Shire Council, 1933 to 1941
        Military Service: Served in RAAF, Flight Lieutenant (flying instructor) World War II, 1941 to 1944
    Parliamentary Representation:
            House
                      Party
                      Electorate
                      From
                    To
                    Elected/Departure Reason                      
                Assembly 
                CP
                Dalby
                3 May 1947
                28 Oct 1949
                Did not contest
            
Other Seats:  Member of the House of Representatives (Federal) Country Party, MARANOA, Qld, 10 Dec 1949 to 28 Apr 1951

    

      Additional Information
    Notes: Member: Basic Industries Group; Early Birds Flying Club; Archerfield Aero Club; Queensland Club; United Services Club; Royal Sydney Golf Club; Rotary; and Red Shield. His father, Wilfred Adams Russell, purchased Jimbour Station in 1923. Patron: Dalby Show Society; Dalby Rotary Rodeo. Freemason. Mr Russell was a keen innovator, playing a key role in research leading to the eradication of prickly pear and being an early pioneer of motorised livestock transport in 1928
    Publications: Russell, C and Russell, H,  Jimbour: Its History and Development, 1955, Russell, C, Country Crisis, Brisbane, 1976
    Sources: Imaged sourced from 'Parliamentary Handbook and Record of Elections for th eCommonwealth of Australia', 11th ed., 1945 to 1953, 1953; Hogan, Janet, Building Queensland's Heritage (National Trust of Queensland); Morley, Peter, `A heritage', Courier-Mail, Saturday, April 17, 2004; Queensland Parliamentary Debates, Motion of Condolence, First session of the 42nd Parliament, Vol. 274, pp. 27-36 (Brisbane, Qld: Government Printer); http://www.russellpastoral.com.au/; Brown, Elaine, 'Russell, Charles Wilfred (1907–1977)', Australian Dictionary of Biography, National Centre of Biography, Australian National University. http://adb.anu.edu.au/biography/russell-charles-wilfred-11586; Waterson, DB and John Arnold, A Biographical Register of the Queensland Parliament: 1930-1980, (Canberra: ANU Press, 1982); http://en.wikipedia.org/wiki/Charles_Russell_(Australian_politician)

    [Last Modified: Tuesday, 29 August 2017]


"
"Holberton,  Frederick Hurrell ",/1008520861,"
    
            Birth Date: 28 October 1821 (Totnes, Devon, England)
            
Death Date: 9 September 1907 (Toowoomba, Queensland, Australia)  
            
Parents: William Holberton and Elizabeth (nee Harris) 
            Family: Sophia Hope Best on 11 October 1869 
             
            
Education: Educated at Totnes 
            Religion: Church of England 
            
     ","
     Personal
    
        
    
    
            Birth Date: 28 October 1821 (Totnes, Devon, England)
            
Death Date: 9 September 1907 (Toowoomba, Queensland, Australia)  
            
Parents: William Holberton and Elizabeth (nee Harris) 
            Family: Sophia Hope Best on 11 October 1869 
             
            
Education: Educated at Totnes 
            Religion: Church of England 
            
     
    
    
    Career
        Chairman Director, Toowoomba Gas Go.; Chairman Director, Toowoomba Deposit Bank, 1892
        
        
        
        
        
        
    Parliamentary Representation:
            House
                      Party
                      Electorate
                      From
                    To
                    Elected/Departure Reason                      
                Council 
                NONE
                Legislative Council
                4 Jul 1885
                9 Sep 1907
                Died in Office
            

    

      Additional Information
    
    
    Sources: Waterson, DB, A Biographical Register of the Queensland Parliament: 1860-1929, 2nd revised edition (Sydney: Casket Publications, 2001)

    [Last Modified: Tuesday, 25 July 2017]


"
"Lissner,  Isidore Siegfried ",/1010931111,"
    
            Birth Date: 1832 (Posen, Prussia)
            
Death Date: 22 July 1902 (Brisbane, Queensland, Australia)  
            
Parents: Siegfried Lissner and Julia (nee Gluckmann) 
            Family: Louise Margaret Ross, 2 sons, 2 daughters 
             
            
Education: Wilhelm Gymnasium, Posen 
            Religion: Church of England 
            
     ","
     Personal
    
        
    
    
            Birth Date: 1832 (Posen, Prussia)
            
Death Date: 22 July 1902 (Brisbane, Queensland, Australia)  
            
Parents: Siegfried Lissner and Julia (nee Gluckmann) 
            Family: Louise Margaret Ross, 2 sons, 2 daughters 
             
            
Education: Wilhelm Gymnasium, Posen 
            Religion: Church of England 
            
     
    
    
    Career
        Bendigo gold field, 1856; Miner, gold fields in New Zealand, from 1862; Storekeeper at Arrow NZ, and later Ravenswood Queensland, from 1871; Storekeeper Charters Towers, from 1873; Stock and sharebroker, Brisbane
        
        
        
        
        Local Government Service: Alderman, Charters Towers
        
    Parliamentary Representation:
            House
                      Party
                      Electorate
                      From
                    To
                    Elected/Departure Reason                      
                Assembly 
                MIN
                Kennedy
                5 Oct 1883
                13 May 1893
                
            Assembly 
                MIN
                Cairns
                4 Apr 1896
                11 Mar 1899
                
            

    
            Parliamentary Service
            Description
                      From
                      To                
                Secretary for Mines and Public Works 
                
27 Mar 1893
                
25 May 1893
            Additional Information
    Notes: Chairman and director Menzies Gold Mining Company, from 1897; Member, School of Arts and Hospital Trustee, Charters Towers; Delegate to London for North Queensland  Separation League, 1887; Member, Brisbane Stock Exchange
    
    Sources: Image courtesy of John Oxley Library, State Library of Queensland, Neg: 68213; Waterson, DB, A Biographical Register of the Queensland Parliament: 1860-1929, 2nd revised edition (Sydney: Casket Publications, 2001)

    


"
"Barber,  George  ",/1013125980,"
    
            Birth Date: 1857 (Hoo, Rochester, Kent, England)
            
Death Date: 10 April 1932 (Charleville, Queensland, Australia)  
            
Parents: George Barber and Fanny (nee Parker) 
            Family: (2) Mary Ann Toub on 27 November 1923 in Brisbane, (1) Florence Gifford, in Canterbury, England, 6 sons, 4 daughters 
             
             
            
Religion: Presbyterian 
            
     ","
     Personal
    
        
    
    
            Birth Date: 1857 (Hoo, Rochester, Kent, England)
            
Death Date: 10 April 1932 (Charleville, Queensland, Australia)  
            
Parents: George Barber and Fanny (nee Parker) 
            Family: (2) Mary Ann Toub on 27 November 1923 in Brisbane, (1) Florence Gifford, in Canterbury, England, 6 sons, 4 daughters 
             
             
            
Religion: Presbyterian 
            
     
    
    
    Career
        Town contractor and builder, 1893; Partner, P. & A. Barber, 1908-1924; Managing Director, Barber Limited, 1924 
        
        
        
        
        Local Government Service: Alderman, Charleville; Town Clerk, Charleville; Mayor of Charleville, 1901, 1903
        
    Parliamentary Representation:
            House
                      Party
                      Electorate
                      From
                    To
                    Elected/Departure Reason                      
                Assembly 
                ALP
                Warrego
                18 May 1907
                24 Sep 1907
                Unseated by petition
            

    

      Additional Information
    Notes: Chairman, Fire Brigade Board; Chairman, Charleville Hospital; Member, Pastoral and Agricultural Association; Manchester Unity Independent Order of Oddfellows
    
    Sources: Image courtesy of Bob Barber; Waterson, DB, A Biographical Register of the Queensland Parliament: 1860-1929, 2nd revised edition (Sydney: Casket Publications, 2001)

    


"
"Bishop,  Bruce Edward ",/1016743013,"
    
            Birth Date: 25 August 1925 (Maffra, Victoria, Australia)
            
Death Date: 20 May 2008 (Gold Coast, Queensland, Australia)  
            
Parents: Edward William Bishop and Ada Florence (nee Nisbett) 
            Family: E Waters in July 1972, 2 sons  
             
            
Education: Romsey State School; Geelong College 
            Religion: Presbyterian 
            
     ","
     Personal
    
        
    
    
            Birth Date: 25 August 1925 (Maffra, Victoria, Australia)
            
Death Date: 20 May 2008 (Gold Coast, Queensland, Australia)  
            
Parents: Edward William Bishop and Ada Florence (nee Nisbett) 
            Family: E Waters in July 1972, 2 sons  
             
            
Education: Romsey State School; Geelong College 
            Religion: Presbyterian 
            
     
    
    
    Career
        Menswear retailer since 1961; Fundraiser, Wells Organisation until 1971; State Electricity Commission Victoria until 1955
        
        Party Positions:
 (LIB) Secretary, Surfers Paradise Branch of the Liberal Party, 1963
 (LIB) Chairman, Surfers Paradise Branch of the Liberal Party, 1964
 (LIB) Member, State Executive of the Liberal Party, 1966 - 1975
 (LIB) McPherson Area Chairman of the Liberal Party, 1966 - 1975
 (LIB) Member, Government Party Committees: Treasury; Justice; Survey and Valuation; Local Government and Main Roads; Marine Services and Tourism, 1978
Local Government Service: Alderman, Gold Coast City Council, 1973 to 1988; Chairman and Deputy Chairman, various committees of the Gold Coast City Council
        Military Service: Able Seaman, Royal Australian Navy, 3 October 1944 to 27 August 1946
    Parliamentary Representation:
            House
                      Party
                      Electorate
                      From
                    To
                    Elected/Departure Reason                      
                Assembly 
                LIB
                Surfers Paradise
                12 Nov 1977
                29 Nov 1980
                
            

    
            Parliamentary Service
            Description
                      From
                      To                
                Member, Joint Party Committee Investigating Unemployment 
                
1978
                
            Additional Information
    Notes: Former president and life member, Surfers Paradise Chamber of Commerce; Board Member, Gold Coast Visitors Bureau; Fellow, Victorian College of Chiropody
    
    Sources: Image sourced from the collection of the Queensland Parliamentary Library and Research Service; Gold Coast Bulletin, `Surfers pioneer dies', 22 May 2008; Courier-Mail, `Defender of Surfers Paradise', 23 May 2008

    [Last Modified: Tuesday, 20 June 2017]


"
"Wienholt,  Arnold (Jnr)  ",/1017574274,"
    
            Birth Date: 25 November 1877 (Goomburra, Darling Downs, Queensland, Australia)
            
Death Date: 10 September 1940 (Ethiopia)  
            
Parents: Edward Wienholt and Ellen (nee Williams) 
            Family: Enid Francis Jones on 27 April 1919, 1 daughter 
             
            
Education: Eton 
            Religion: Church of England 
            Relationship to Politician: Arnold (Jnr) was the son of Edward Wienholt, Member of the Queensland Legislative Assembly, Western Downs 1870-1873, Darling Downs 1873-1875.He was the nephew of Arnold Wienholt Snr, Member of the Queensland Legislative Assembly for Warwick 1863 - 1867
     ","
     Personal
    
        
    
    
            Birth Date: 25 November 1877 (Goomburra, Darling Downs, Queensland, Australia)
            
Death Date: 10 September 1940 (Ethiopia)  
            
Parents: Edward Wienholt and Ellen (nee Williams) 
            Family: Enid Francis Jones on 27 April 1919, 1 daughter 
             
            
Education: Eton 
            Religion: Church of England 
            Relationship to Politician: Arnold (Jnr) was the son of Edward Wienholt, Member of the Queensland Legislative Assembly, Western Downs 1870-1873, Darling Downs 1873-1875.He was the nephew of Arnold Wienholt Snr, Member of the Queensland Legislative Assembly for Warwick 1863 - 1867
     
    
    
    Career
        Manager, Widgee Station; Manager, Wienholt Pastoral Estates Co.
        
        
        Official Awards: Received Distinguished Service Order; Military Cross  with a Bar added
        
        Local Government Service: Member, Kilkivan Shire Council; Member, Fassifern Shire Council
        Military Service: NCO, 4th Queensland Imperial Bushmen's Contingent, South Africa; Scout, Rhodesia-Angola, 1914-1915; Intelligence Officer, German East Africa, 1915-1916; Guerrilla Officer, Abyssinia, 1939-1940 (killed in action)
    Parliamentary Representation:
            House
                      Party
                      Electorate
                      From
                    To
                    Elected/Departure Reason                      
                Assembly 
                MIN
                Fassifern
                2 Oct 1909
                28 Mar 1913
                
            Assembly 
                IND
                Fassifern
                28 Jun 1930
                11 May 1935
                
            
Other Seats:  Member of House of Representatives (Federal), National Party, MORETON, Qld, 13 Dec 1919 to 6 Nov 1922

    

      Additional Information
    Notes:  Great War: served as special intelligence scout with British Forces in campaign in German SW Africa and Angola 1914-1915. Wienholt subsequently took part in fighting against Boer rebels and German Camel Corps; Wienholt later served as intelligence officer to the Imperial Forces in East Africa, 1915-1916, and was captured by the Germans. He escaped and was awarded a DSO and MC with bar and promoted to captain; During WWII 1939-1940, while engaged as a guerrilla officer in Abyssinia (Ethiopia) he and his party were ambushed and killed
    Publications: 'The African's Last Stronghold' (London, 1937), 'The Story of a Lion Hunt' (London, 1919), 'The Work of a Scout' (London, 1913)
    Sources:  Imaged sourced from 'The History of Queensland: Its People and Industries' compiled by Matt J. Fox, 1921; Siemon, R, The eccentric Mr Wienholt: a true story of extraordinary courage and dashing adventure (University of Queensland Press, 2005); Greville, P J, 'Wienholt, Arnold (1877-1940)', Australian Dictionary of Biography, V.12, Melbourne University Press, 1990; Lack, Clem, 'Arnold Wienholt', Three Decades of Queensland Political History 1929-1960, pp.655-658; Waterson, DB, A Biographical Register of the Queensland Parliament: 1860-1929, 2nd revised edition (Sydney: Casket Publications, 2001); Hughes, Colin A and BD Graham, Voting for the Queensland Legislative Assembly 1890-1964, (Canberra: ANU, Department of Political Science, 1974); 43rd Parliament Parliamentary Handbook of the Commonwealth of Australia 2011, p 476

    [Last Modified: Wednesday, 19 June 2019]


"
"Madsen, Hon Otto Ottosen ",/1021246986,"
    
            Birth Date: 8 December 1904 (Warwick, Queensland, Australia)
            
Death Date: 3 August 1963 (Brisbane, Queensland, Australia)  
            
Parents: Mads  Madsen and Christine  (nee Ottosen) 
            Family: Nellie Inis Evans on 11 September 1924, 2 sons, 2 daughters 
             
            
Education: Tannymorel State School; Warwick State High School; Warwick Technical College 
            Religion: Church of England 
            
     ","
     Personal
    
        
    
    
            Birth Date: 8 December 1904 (Warwick, Queensland, Australia)
            
Death Date: 3 August 1963 (Brisbane, Queensland, Australia)  
            
Parents: Mads  Madsen and Christine  (nee Ottosen) 
            Family: Nellie Inis Evans on 11 September 1924, 2 sons, 2 daughters 
             
            
Education: Tannymorel State School; Warwick State High School; Warwick Technical College 
            Religion: Church of England 
            
     
    
    
    Career
        Dairy farmer,Tannymorel, Killarney and Yangan; Employee, Tannymorel Coal Mining Co. from 1924 to 1925; Director, Queensland Co-operative Cold Stores Federation; Director, Killarney Co-operative Dairy Association
        
        
        
        
        Local Government Service: Councillor, Glengallan Shire since 1942
        
    Parliamentary Representation:
            House
                      Party
                      Electorate
                      From
                    To
                    Elected/Departure Reason                      
                Assembly 
                CP
                Warwick
                3 May 1947
                3 Aug 1963
                Died in office
            

    
            Parliamentary Service
            Description
                      From
                      To                
                Minister for Agriculture and Forestry 
                
9 Jun 1960
                
14 Jun 1963
            Minister for Public Lands and Irrigation 
                
9 Jun 1960
                
16 Jun 1960
            Minister for Agriculture and Stock 
                
12 Aug 1957
                
9 Jun 1960
            Additional Information
    Notes: President, Dairymen's Organisation and Eastern Downs District Council; Deputy State President and Queensland Representative, Australian Dairy Farmers Federation; Member, Queensland Butter Marketing Board; Member and former executive member, Queensland Council of Agriculture; Member: Queensland Butter Marketing Board; Australian Dairy Produce Board; Australian Dairy Industry Council; and National Farmers Union
    
    Sources: Image sourced from C Lack, Three decades of Queensland Political history, 1929-1960

    [Last Modified: Monday, 14 August 2017]


"
"Littleproud, Hon Brian George ",/1025348732,"
    
            Birth Date: 25 June 1941 (Chinchilla, Queensland, Australia)
               
            
Parents: George Henry Litteproud and Ruth Isabel (nee Middleton) 
            Family: Alannah Bernadette Kelly on 12 December 1964, 3 sons 
             
            
Education: Canaga and Chinchilla State schools; Chinchilla High School; Ipswich Grammar School; Queensland Teachers' College; University of Queensland; CertTeach 
            Religion: Church of England 
            
     ","
     Personal
    
        
    
    
            Birth Date: 25 June 1941 (Chinchilla, Queensland, Australia)
               
            
Parents: George Henry Litteproud and Ruth Isabel (nee Middleton) 
            Family: Alannah Bernadette Kelly on 12 December 1964, 3 sons 
             
            
Education: Canaga and Chinchilla State schools; Chinchilla High School; Ipswich Grammar School; Queensland Teachers' College; University of Queensland; CertTeach 
            Religion: Church of England 
            
     
    
    
    Career
        Primary school teacher; Farmer/grazier
        
        Party Positions:
 (NP) Chairman, Chinchilla Branch
 (NP) Secretary, Condamine Electorate Council
 (NP) Delegate to Central Council
 (NP) Member, Ministerial Legislative Committees: Mines and Energy; Education; Primary Industries; Welfare Services and Ethnic Affairs; Lands, Forestry and Police, 1983 - 1986
 (NP) Member, Ministerial Legislative Committees: Corrective Services, Administrative Services and Valuation, 1987
 (NP) Member, Ministerial Legislative Committees: Lands, Forestry, Mapping and Surveying; Education; Primary Industries; Family Services, Youth and Ethnic Affairs, 1987
Parliamentary Representation:
            House
                      Party
                      Electorate
                      From
                    To
                    Elected/Departure Reason                      
                Assembly 
                NP
                Condamine
                22 Oct 1983
                19 Sep 1992
                
            Assembly 
                NP
                Western Downs
                19 Sep 1992
                17 Feb 2001
                Did not contest
            
		
       Speeches:  All Speeches 
    
	
     

    
            Parliamentary Service
            Description
                      From
                      To                
                Minister for Environment 
                
26 Feb 1996
                
26 Jun 1998
            Coalition Shadow Minister for Emergency Services and for the Public Service 
                
2 Aug 1995
                
19 Feb 1996
            Member, Estimates Committee D 
                
31 Mar 1995
                
13 Jun 1995
            Member, Estimates Committee D 
                
28 Apr 1994
                
23 Jun 1994
            Coalition Shadow Minister for Emergency Services, Family Services  and Aboriginal and Islander Affairs 
                
19 Oct 1993
                
Jul 1995
            Member, Privileges Committee 
                
12 Nov 1992
                
20 Jun 1995
            Member, Select Committee for Members' Interests 
                
10 Nov 1992
                
20 Jun 1995
            Coalition Shadow Minister for Corrective Services 
                
3 Nov 1992
                
19 Oct 1993
            Deputy Leader, Parliamentary National Party and Spokesman for Rural Affairs 
                
11 Dec 1991
                
29 Sep 1992
            National Party Spokesman on Attorney-General Matters and Assisting on Sport 
                
29 Jan 1991
                
Aug 1992
            National Party Spokesman on Education 
                
Jan 1990
                
Jan 1991
            Minister for Education, Youth, Sport and Recreation 
                
31 Aug 1989
                
7 Dec 1989
            Member, Parliamentary Delegation to Japan, China, Hong Kong and Thailand 
                
1987
                
            Minister for Education, Youth and Sport 
                
9 Dec 1987
                
31 Aug 1989
            Member, Library Committee 
                
1983
                
1987
            Member, Printing Committee 
                
1983
                
1987
            Additional Information
    Notes: Interests include cricket, rugby league, rugby union, lawn bowls and gardening; Member: Chinchilla Rotary Club; and Queensland Grain Growers Association; Life member, Chinchilla Apex Club; Life Member: Western Downs Zone, Queensland Country Cricket Association; Chinchilla Apex Club; Chinchilla and District Cricket Association; and Canaga Cricket Club; Patron: Darling Downs and South West Junior Cricket Association; Dalby Blue Nursing Service and Chinchilla-Miles Blue Nursing Service
    
    Sources: Image sourced from the collection of Queensland Parliamentary Library and Research Service 

    [Last Modified: Thursday, 18 July 2019]


"
