surname,first_name,common_name,display_name,title,birth_date,birth_year,number,electorate,party,date_of_election,birth_city_state,birth_country,education,religion
Wilson,Simone,NA,"Wilson, Simone",,1976-02-20,1976,812306558,Pumicestone,Liberal National Party (LNP),25 November 2017,Melbourne,Australia,Certificate IV in Finance and Mortgage Broking,NA
Whiting,Christopher,Chris,"Whiting, Chris",,1966-07-13,1966,2917049458,Bancroft,Australian Labor Party (ALP),31 January 2015Previous RepresentationMurrumba - ALP (31 Jan 2015 - 24 Nov 2017),"Mackay, Queensland",Australia,Bachelor of Arts (Honours); Master of Journalism,Anglican
Weir,Patrick,Pat,"Weir, Pat",,1960-02-25,1960,4154112788,Condamine,Liberal National Party (LNP),31 January 2015,Queensland,Australia,"Cecil Plains State Primary School, Cecil Plains State High School",Catholic
Watts,Trevor,NA,"Watts, Trevor",,1968-01-30,1968,1634313414,Toowoomba North,Liberal National Party (LNP),24 March 2012,NA,UK,"Bachelor of Business, Diploma of Export Management; Graduate Public Venue Management School (PVMS). Member Chartered Institute of Marketing; Member Australian Institute of Management.",NA
Trad,Jacklyn,Jackie,"Trad, Jackie",,1972-04-25,1972,2909040466,South Brisbane,Australian Labor Party (ALP),28 April 2012,Brisbane,Australia,"Masters in Public Policy (University of Sydney), Bachelor of Arts (Griffith University).",NA
Stewart,Scott,NA,"Stewart, Scott",,NA,NA,1560887617,Townsville,Australian Labor Party (ALP),31 January 2015,NA,NA,NA,NA
Stevens,Raymond,Ray,"Stevens, Ray",,1953-02-01,1953,38139274,Mermaid Beach,Liberal National Party (LNP),9 September 2006Previous RepresentationRobina - LNP (9 Sep 2008 - 20 Mar 2009) Robina - LIB (9 Sep 2006 - 8 Sep 2008),Townsville,Australia,Bachelor of Arts in Finance and Economics (JCU) and (Macquarie). Admitted to Australian Association of Accountants (1974).,NA
Sorensen,Edward,Ted,"Sorensen, Ted",,1953-01-20,1953,1339591927,Hervey Bay,Liberal National Party (LNP),21 March 2009,NA,NA,"Bingham Road School; Torquay School, Hervey Bay; Hervey Bay High School.",NA
Simpson,Fiona,NA,"Simpson, Fiona",,1965-04-18,1965,270271732,Maroochydore,Liberal National Party (LNP),19 September 1992Previous RepresentationMaroochydore - NAT (19 Sep 1992 - 8 Sep 2008),Victoria,Australia,"Bachelor of Arts, majors in Japanese, journalism and government. Master of Arts, majoring in communications and organizational leadership. Graduate of the Australian Institute of Company Directors.",NA
Scanlon,Meaghan,NA,"Scanlon, Meaghan",,NA,NA,4264547649,Gaven,Australian Labor Party (ALP),25 November 2017,NA,NA,NA,NA
Saunders,Bruce,NA,"Saunders, Bruce",,NA,NA,1753153258,Maryborough,Australian Labor Party (ALP),31 January 2015,NA,NA,NA,NA
