names,page,first_name,title,electorate,house,party
Abbott,https://members.parliament.sa.gov.au/Detail.aspx?pid=2483,Roy,Hon,Spence,House of Assembly,Australian Labor Party
Abbott QC,https://members.parliament.sa.gov.au/Detail.aspx?pid=3567,Sir Charles,Hon,Served in Multiple Electorates,House of Assembly,Represented multiple parties
Adams,https://members.parliament.sa.gov.au/Detail.aspx?pid=4157,Henry,Mr,Served in Multiple Electorates,Legislative Council,Labor Party (Senate)
Addison,https://members.parliament.sa.gov.au/Detail.aspx?pid=3927,Arthur,Hon,Served in Multiple Electorates,Legislative Council,Unknown
Allen,https://members.parliament.sa.gov.au/Detail.aspx?pid=3568,Ernest,Mr,Served in Multiple Electorates,House of Assembly,Represented multiple parties
Allen,https://members.parliament.sa.gov.au/Detail.aspx?pid=3565,Peter,Mr,Served in Multiple Electorates,House of Assembly,Unknown
Allison,https://members.parliament.sa.gov.au/Detail.aspx?pid=2484,Harold,Hon,Served in Multiple Electorates,House of Assembly,Liberal Party
Anderson,https://members.parliament.sa.gov.au/Detail.aspx?pid=3566,Alexander,Mr,Noarlunga,House of Assembly,Unknown
Anderson,https://members.parliament.sa.gov.au/Detail.aspx?pid=4020,Joseph,Mr,Served in Multiple Electorates,Legislative Council,Independent
Andrew,https://members.parliament.sa.gov.au/Detail.aspx?pid=2485,Kent,Mr,Chaffey,House of Assembly,Liberal Party
Andrews QC,https://members.parliament.sa.gov.au/Detail.aspx?pid=3569,Richard,Hon,Served in Multiple Electorates,House of Assembly,Unknown
Angas,https://members.parliament.sa.gov.au/Detail.aspx?pid=4233,George,Mr,Served in Multiple Electorates,Legislative Council,Unknown
Angas,https://members.parliament.sa.gov.au/Detail.aspx?pid=4193,John,Mr,Served in Multiple Electorates,Represented multiple houses,Unknown
Angus,https://members.parliament.sa.gov.au/Detail.aspx?pid=3597,William,Mr,Served in Multiple Electorates,House of Assembly,Unknown
Anstey,https://members.parliament.sa.gov.au/Detail.aspx?pid=4014,Edward,Mr,Served in Multiple Electorates,House of Assembly,Represented multiple parties
Anstey,https://members.parliament.sa.gov.au/Detail.aspx?pid=4021,George,Mr,unknown,Legislative Council,Unknown
Anthoney,https://members.parliament.sa.gov.au/Detail.aspx?pid=4194,Ernest,Hon,Served in Multiple Electorates,Represented multiple houses,LCL
Appleby,https://members.parliament.sa.gov.au/Detail.aspx?pid=2486,June,Mrs,Served in Multiple Electorates,House of Assembly,Australian Labor Party
Archibald,https://members.parliament.sa.gov.au/Detail.aspx?pid=4015,William,Hon,Port Adelaide,House of Assembly,Australian Labor Party
Armitage,https://members.parliament.sa.gov.au/Detail.aspx?pid=630,Michael,Hon Dr,Served in Multiple Electorates,House of Assembly,Liberal Party
Arnold,https://members.parliament.sa.gov.au/Detail.aspx?pid=2488,Peter,Hon,Chaffey,House of Assembly,Liberal Party
Arnold AO,https://members.parliament.sa.gov.au/Detail.aspx?pid=2487,Lynn,Rev Hon Dr,Served in Multiple Electorates,House of Assembly,Australian Labor Party
Ash,https://members.parliament.sa.gov.au/Detail.aspx?pid=3570,George,Mr,Albert,House of Assembly,Unknown
Ashenden,https://members.parliament.sa.gov.au/Detail.aspx?pid=2489,Scott,Mr,Served in Multiple Electorates,House of Assembly,Liberal Party
Atkinson,https://members.parliament.sa.gov.au/Detail.aspx?pid=531,Michael,Hon,Served in Multiple Electorates,House of Assembly,Australian Labor Party
Atkinson,https://members.parliament.sa.gov.au/Detail.aspx?pid=3596,Thomas,Mr,Noarlunga,House of Assembly,Unknown
Ayers GCMG,https://members.parliament.sa.gov.au/Detail.aspx?pid=4022,Sir Henry,Hon,Served in Multiple Electorates,Legislative Council,Pre-Party System
Babbage,https://members.parliament.sa.gov.au/Detail.aspx?pid=3590,Benjamin,Mr,Encounter Bay,House of Assembly,Unknown
Bagot,https://members.parliament.sa.gov.au/Detail.aspx?pid=4023,Charles,Mr,Served in Multiple Electorates,Legislative Council,Unknown
Bagot,https://members.parliament.sa.gov.au/Detail.aspx?pid=4192,Edward,Mr,Served in Multiple Electorates,Legislative Council,Independent
Bagot,https://members.parliament.sa.gov.au/Detail.aspx?pid=4195,John,Mr,Served in Multiple Electorates,Represented multiple houses,Unknown
Bagot,https://members.parliament.sa.gov.au/Detail.aspx?pid=3591,John,Mr,Victoria,House of Assembly,Unknown
Bagster,https://members.parliament.sa.gov.au/Detail.aspx?pid=3592,Josiah,Mr,Yatala,House of Assembly,Unknown
Baker,https://members.parliament.sa.gov.au/Detail.aspx?pid=2490,Dale,Mr,Served in Multiple Electorates,House of Assembly,Liberal Party
Baker,https://members.parliament.sa.gov.au/Detail.aspx?pid=4061,John,Mr,Served in Multiple Electorates,Legislative Council,Pre-Party System
Baker,https://members.parliament.sa.gov.au/Detail.aspx?pid=2491,Stephen,Hon,Served in Multiple Electorates,House of Assembly,Liberal Party
Baker KCMG KC,https://members.parliament.sa.gov.au/Detail.aspx?pid=4196,Sir Richard,Hon,Served in Multiple Electorates,Represented multiple houses,Represented multiple parties
Bakewell,https://members.parliament.sa.gov.au/Detail.aspx?pid=3593,Samuel,Mr,City of Adelaide,House of Assembly,Unknown
Bakewell,https://members.parliament.sa.gov.au/Detail.aspx?pid=3594,William,Mr,Served in Multiple Electorates,House of Assembly,Unknown
Baldock,https://members.parliament.sa.gov.au/Detail.aspx?pid=3595,Herbert,Mr,Torrens,House of Assembly,Australian Labor Party
Banfield AO,https://members.parliament.sa.gov.au/Detail.aspx?pid=2492,Donald,Hon,Served in Multiple Electorates,Legislative Council,Australian Labor Party
Bannon AO,https://members.parliament.sa.gov.au/Detail.aspx?pid=2493,John,Hon Dr,Ross Smith,House of Assembly,Australian Labor Party
