name,page
"ABBOTT, Edward",https://www.parliament.tas.gov.au/history/tasparl/abbotte2.htm
"ABBOTT, Nigel Drury Gresley",https://www.parliament.tas.gov.au/history/tasparl/abbottn562.htm
"ADAMS, Godfrey Harry",https://www.parliament.tas.gov.au/history/tasparl/AdamsG623.htm
"ADAMS, Robert Patten",https://www.parliament.tas.gov.au/history/tasparl/adamsr45.htm
"AGNEW, James Wilson",https://www.parliament.tas.gov.au/history/tasparl/agnewj135.htm
"AIKENHEAD, James",https://www.parliament.tas.gov.au/history/tasparl/aikenheadj107.htm
"AIKENHEAD, William",https://www.parliament.tas.gov.au/history/tasparl/aikenheadw251.htm
"AIRD, Michael Anthony",https://www.parliament.tas.gov.au/history/tasparl/Airdm624.htm
"ALLEN, Charles Winnett",https://www.parliament.tas.gov.au/history/tasparl/allenc294.htm
"ALLISON, William Race",https://www.parliament.tas.gov.au/history/tasparl/allisonw1.htm
"AMOS, Julian John",https://www.parliament.tas.gov.au/history/tasparl/amosj610.htm
"ANDERSON, Arthur",https://www.parliament.tas.gov.au/history/tasparl/andersona329.htm
"ANDERSON, Russell Charles",https://www.parliament.tas.gov.au/history/tasparl/andersonr711.htm
"ANDERSON, William",https://www.parliament.tas.gov.au/history/tasparl/andersonw560.htm
"ANSTEY, Henry Frampton",https://www.parliament.tas.gov.au/history/tasparl/ansteyh3.htm
"ARCHER, Basil",https://www.parliament.tas.gov.au/history/tasparl/archerb149.htm
"ARCHER, Compton Abbott",https://www.parliament.tas.gov.au/history/tasparl/archerc467.htm
,https://www.parliament.tas.gov.au/history/tasparl/archerc467.htm
"ARCHER, Elise Nicole",https://www.parliament.tas.gov.au/history/tasparl/archer751.htm
"ARCHER, Frank",https://www.parliament.tas.gov.au/history/tasparl/archerf240.htm
"ARCHER, John Kinder",https://www.parliament.tas.gov.au/history/tasparl/archerj46.htm
"ARCHER, Joseph",https://www.parliament.tas.gov.au/history/tasparl/archerj57.htm
"ARCHER, Richard Clive",https://www.parliament.tas.gov.au/history/tasparl/archerr632.htm
"ARCHER, Robert Joseph",https://www.parliament.tas.gov.au/history/tasparl/archerr102.htm
"ARCHER, William Henry Davies",https://www.parliament.tas.gov.au/history/tasparl/archerw184.htm
"ARCHER, William",https://www.parliament.tas.gov.au/history/tasparl/archerw52.htm
