name,born,died,page
"A ' BECKETT, WILLIAM ARTHUR CALLANDER  ",07 JULY 1833,16 DECEMBER 1901),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/172
"A BECKETT, THOMAS TURNER  ",13 SEPTEMBER 1808,01 JULY 1892),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/354
"ABBOTT, JOSEPH HENRY  ",01 FEBRUARY 1830,10 NOVEMBER 1904),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/353
"ABBOTT, RICHARD HARTLEY SMITH  ",01 JANUARY 1858,28 FEBRUARY 1940),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/983
"ADAMSON, TRAVERS  ",06 AUGUST 1827,04 APRIL 1897),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/323
"ADAMSON, WILLIAM ADDISON  ",27 MAY 1858,10 JUNE 1924),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/981
"AIKMAN, JOHN GEORGE  ",24 JUNE 1858,29 JULY 1928),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/984
"ALDCORN, ANDREW  ",01 JANUARY 1792,13 AUGUST 1877),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/975
"ALLAN, JOHN  ",1820-1830,1890-1899),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/176
"ALLAN, JOHN  ",27 MARCH 1866,22 FEBRUARY 1936),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/985
"ALLEN, DENISE MARGARET  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/194
"ALLISON, DAVID  ",23 JULY 1865,27 JUNE 1928),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/982
"ALLNUTT, ALBERT GEORGE  ",29 APRIL 1892,18 MARCH 1963),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/986
"AMOS, DEREK GODFRY IAN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/987
"AMSINCK, HENRY  ",01 JANUARY 1798,19 DECEMBER 1878),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/330
"ANDERSON, JOSEPH  ",01 JULY 1790,18 JULY 1877),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/338
"ANDERSON, WILLIAM ACLAND DOUGLAS  ",31 OCTOBER 1829,23 JANUARY 1882),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/345
"ANDERSON, ROBERT STIRLING HORE  ",01 JANUARY 1821,26 OCTOBER 1883),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/339
"ANDERSON, WILLIAM  ",03 JANUARY 1828,06 MAY 1909),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/976
"ANDERSON, WILLIAM  ",23 DECEMBER 1853,03 MAY 1898),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/183
"ANDERSON, ANDREW  ",01 JANUARY 1838,10 APRIL 1897),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/331
"ANDERSON, JOHN  ",01 JANUARY 1840,20 JUNE 1901),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/180
"ANDREW, JOHN  ",01 JANUARY 1819,19 JULY 1902),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/184
"ANDREWS, CHARLES  ",25 DECEMBER 1834,02 JULY 1895),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/350
"ANDREWS, CHARLES LEONARD  ",02 MARCH 1861,06 OCTOBER 1914),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/988
"ANDRIANOPOULOS, ALEX  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/195
"ANDRIGHETTO, FLORIAN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/141
"ANGLISS, WILLIAM CHARLES  ",29 JANUARY 1865,15 JUNE 1957),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/989
"ANGUS, HENRY  ",16 FEBRUARY 1865,02 APRIL 1934),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/991
"ANNAND, GEORGE  ",01 JANUARY 1798,09 JANUARY 1856),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/355
"ANSTEY, FRANCIS GEORGE  ",18 AUGUST 1865,31 OCTOBER 1940),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/992
"ARGONDIZZO, LIDIA  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1691
"ARGYLE, REGINALD IVON  ",11 DECEMBER 1859,03 SEPTEMBER 1936),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/990
"ARGYLE, STANLEY SEYMOUR  ",04 DECEMBER 1867,23 NOVEMBER 1940),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/993
"ARMYTAGE, HARRY  ",19 JUNE 1862,27 MAY 1933),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/351
"ARNOLD, MICHAEL JOHN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/995
"ARNOTT, DAVID LEVIS EDMUND ANDREA  ",15 JANUARY 1899,18 SEPTEMBER 1960),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/994
"ASHER, LOUISE  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/2
"ASHLEY, GORDON WETZEL  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/197
"ASHMAN, GERALD BARRY  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/199
"ASHWORTH, THOMAS RAMSDEN  ",05 DECEMBER 1864,23 AUGUST 1935),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/996
"ASPINALL, BUTLER COLE  ",11 NOVEMBER 1830,04 APRIL 1875),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/185
"AUSTIN, SIDNEY  ",16 MAY 1846,08 MAY 1906),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/188
"AUSTIN, EDWIN HENRY  ",03 AUGUST 1860,30 NOVEMBER 1909),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/327
"AUSTIN, AUSTIN ALBERT  ",23 NOVEMBER 1855,29 JULY 1925),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/997
"AUSTIN, EDWARD ARTHUR  ",03 JULY 1875,01 MAY 1940),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/998
"AUSTIN, THOMAS LESLIE  ",24 SEPTEMBER 1923,01 JUNE 2002),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1673
