name,page,house,elected,electorate,retired
"Abbey, Hon Charles Roy",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/D3259F2E4FB0739C482577E50028A4F5?OpenDocument#current,MLC,22 May 1958,Central,1977
"Abbott, Mr Arthur Valentine Rutherford",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/9F3465B93D8153E7482577E50028A4F6?OpenDocument#current,MLA,18 March 1939,North Perth; Mt Lawley,1956
"Abetz, Mr Peter",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/BE39359630ABC1DE48257C77000DCF23?OpenDocument#current,MLA,6 September 2008,Southern River,2017
"Ackland, Mr John Hugh",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/6A42C845D8F956DC482577E50028A4F7?OpenDocument#current,MLA,15 March 1947,Irwin-Moore; Moore,1958
"Ainsworth, Mr Ross Andrew",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/B7ECCAF69CE1CE8C482577E50028A4F8?OpenDocument#current,MLA,4 February 1989,Roe,2005
"Airey, Hon Diane Phyllis",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/76D5CF356FA36966482577E50028A4F9?OpenDocument#current,MLC,2 February 1993,South Metropolitan,1993
"Alban, Mr Francesco (Frank) Angelo",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/56FC90FEC7B34F1548257C77000DDC6B?OpenDocument#current,MLA,6 September 2008,Swan Hills,2017
"Aldridge, Hon Martin",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/134E9BA798857FC448257CB50049FA80?OpenDocument#current,MLC,5 April 2013,Agricultural,
"Alexander, Dr Ian Christopher",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/B7E5E4075EE1F0D6482577E50028A4FA?OpenDocument#current,MLA,9 May 1987,Perth,1993
"Alexander, Hon William",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/7F9BC7837D6E1CF3482577E50028A4FB?OpenDocument#current,MLC,25 July 1895,Central,1898
"Allen, Mr Ebenezer",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/32491D035B28BD35482577E50028A4FC?OpenDocument#current,MLA,3 October 1911,West Perth,1921
"Allen, Hon Joseph Francis",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/98F5269761E00E59482577E50028A4FD?OpenDocument#current,MLC,22 May 1914,West,1920
"Allsop, Frederick William",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/0C6325AFE39621F4482577E50028A4FE?OpenDocument#current,MLC,22 May 1930,North East,1932
"Amherst, Hon Josceline George Herbert",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/69615A5CF58C68B5482577E50028A4FF?OpenDocument#current,MLC,24 December 1890,Nominated,1894
"Andrew, Mr Hugh David",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/ED487595B5065676482577E50028A500?OpenDocument#current,MLA,14 February 1953,Victoria Park,1961
"Andrews, Mr Paul William",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/B4EC65A586865F6F482577E50028A501?OpenDocument#current,MLA,10 February 2001,Southern River,2008
"Angelo, Mr Edward Houghton",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/A24B9A5343C96E1C482577E50028A503?OpenDocument#current,MLA MLC,29 September 1917,Gascoyne; North,1933
"Angwin, Mr William Charles",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/1B00F353F145E336482577E50028A504?OpenDocument#current,MLA,28 June 1904,East Fremantle; North–East Fremantle,1927
"Anstey, Hon Harry Francis",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/180D327A2D457A3E482577E50028A505?OpenDocument#current,MLC,22 August 1893,Nominated,1894
"Anwyl, Ms Megan Irene",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/D5F09F02AECF4F7E482577E50028A506?OpenDocument#current,MLA,16 March 1996,Kalgoorlie,2001
"Archer, Hon Shelley Frances",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/1493058D6AA99AD3482577E50028A507?OpenDocument#current,MLC,22 May 2005,Mining and Pastoral,2009
"Ardagh, Hon Richard George",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/F780DB7DAF5EC2B6482577E50028A508?OpenDocument#current,MLC,22 May 1912,North-East,1924
"Atkins, Mr William",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/A79A9986E5FB38A8482577E50028A509?OpenDocument#current,MLA,16 July 1902,Murray,1904
"Atkinson, Hon William Gordon",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/624F8BD35929F8FA482577E50028A50A?OpenDocument#current,MLC,22 May 1983,Central,1984
"Baglin, Hon Frederick Arthur",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/4A3F6D9149922385482577E50028A50B?OpenDocument#current,MLC,22 May 1920,West,1923
"Baker, Mr Christopher (Chris) John",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/F82D5BE810DCFEEA482577E50028A50C?OpenDocument#current,MLA,14 December 1996,Joondalup,2001
